model,base_mean,enriched_mean,mean_change,mean_absolute_change,maximum_absolute_change,base_days_above_threshold,enriched_days_above_threshold,threshold_disagreement_days
P,26.598428494649674,27.19967966235065,0.6012511677009802,4.4922308398716995,15.020235190369217,333,242,123
S,52.76209675269392,51.86885670284802,-0.8932400498459038,3.937630239758998,14.260097349053794,1148,1049,265
G,51.351756622674735,52.751726683384355,1.3999700607096255,2.1761558656834477,9.27804563492063,964,1014,104
E,50.51150959737847,49.4476358563647,-1.0638737410137722,4.909944297782027,16.124555744752612,1824,1919,307
