strategy,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
PS_proxy,2016-07-25,2026-07-24,2514,1.9105091855525576,0.11279703396119944,0.10034013758715547,0.8869420854467001,1.2859886700375656,-0.17007662378013955,-0.009629711176244686,-0.015336886817563575,-0.043119952689598895,-0.05904577147061063,-0.10328654788658365,-0.12979309912446135,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-11-03,2023-06-15,369,True
Call_only,2016-07-25,2026-07-24,2514,1.9069146613907852,0.11265946886474243,0.10029179700916248,0.8860850939639775,1.2847794671167352,-0.17007662378014043,-0.009629711176244686,-0.015331242078212145,-0.043119952689598895,-0.05904577147061063,-0.10328654788658387,-0.12979309912446135,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-11-03,2023-06-15,369,True
CSP_only,2016-07-25,2026-07-24,2514,1.9785155617904158,0.11537129008894009,0.10464425793302795,0.8767651872897073,1.2746798727336892,-0.17009379984604722,-0.01002327459090165,-0.015976768174558117,-0.043119952689598895,-0.06578489862626358,-0.10328654788658453,-0.13054835130509923,0.41151212746264654,0.5884878725373535,1.0424281018898933,0.005210000000000001,2021-12-27,2022-11-03,2023-06-15,369,True
Insurance_only,2016-07-25,2026-07-24,2514,1.9012033011483962,0.11244057570095034,0.09441147138836634,0.9330901411101143,1.3672488941606502,-0.1646138984909402,-0.008911534180594793,-0.014183414946227949,-0.03963906914773607,-0.05904577147061063,-0.07990021503182554,-0.126889949857924,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
Full,2016-07-25,2026-07-24,2514,1.9516540209044773,0.11436087961156871,0.09465649141730884,0.9491753193457988,1.3911743645471744,-0.16465738482313375,-0.00907687001372665,-0.014199038964827857,-0.03963906914773607,-0.05904577147061063,-0.07994153214204491,-0.12692935631444524,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
