strategy,asset,initial_nav,ending_nav,covered_call_net_pnl,cash_secured_put_net_pnl,insurance_net_pnl,assigned_inventory_net_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,insurance_net_entry_debit,insurance_pnl_during_panic,call_intrinsic_cap_cost,covered_call_entry_groups,csp_entry_groups,insurance_entry_groups,call_assignments,csp_assignments,average_call_coverage,average_csp_collateral_weight,average_assigned_weight,proxy_iv_multiplier,proxy_spread_multiplier,insurance_structure
v0_3_full_base_scores,QQQ,500000.0,1349643.756251817,473.12510045394765,19036.595702148625,-9698.459069264316,686.9132583333239,4058.675530419483,8646.55765805774,26298.57702433937,52858.17722050643,0.0,52858.17722050643,16526.310704996456,0.0,17,19,23,0,1,0.0036006201934590575,0.014523782097490124,0.0009654629726443206,1.0,1.0,protective_put
v0_4_full_enriched_ungated,QQQ,500000.0,1487837.97376253,-1829.0873746793945,19066.445404099624,-11237.099314914925,0.0,4346.792356825607,13088.222370313586,23990.96627172912,56732.28773754343,0.0,56732.28773754343,3748.93792533099,0.0,23,13,23,0,0,0.003381979972262375,0.009063284412028505,0.0,1.0,1.0,protective_put
v0_4_full_no_csp_e_gate,QQQ,500000.0,1459829.924328622,-1841.285985852102,22024.15081980822,-10528.159718454883,-7588.330228571465,4551.0647344048075,12491.600935274555,29183.973275473014,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,21,23,0,1,0.003376363477596595,0.015957163207886257,0.003610435508491814,1.0,1.0,protective_put
v0_4_full_enriched_scores,QQQ,500000.0,1475834.4335107142,-1829.0873746793945,18322.357231929287,-10528.159718454883,0.0,4319.573938463918,13088.222370313586,23082.030213181417,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,16,23,0,0,0.003388353485939528,0.00966314807505598,0.0,1.0,1.0,protective_put
