date,strategy_name,state,event_id,event_active,P,S,G,E,R_proxy,R_put,R_call,I,I_need,I_affordability,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,base_portfolio_return,base_pnl,covered_call_pnl,cash_secured_put_pnl,insurance_pnl,assigned_inventory_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,assigned_shares,assigned_market_value,assigned_weight,covered_call_contracts,covered_call_coverage,cash_secured_put_collateral,cash_secured_put_collateral_weight,insurance_contracts,portfolio_return,equity,effective_asset_weight,gross_return,drawdown
2016-07-25,v0_4_full_enriched_scores,DATA_GUARD,0,False,6.792112691398555,73.61297510068198,67.51044991503461,28.924115463217895,32.11830504672062,40.374804901047405,23.86180519239383,23.242100005452993,11.114401640953126,59.625195098952595,0.35,0.35,0.0,7.738095238095238e-06,0.0,0.0,5.029761904761905e-06,2.5148809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,5.02976190475124e-06,500002.51488095237,0.35,5.02976190475124e-06,0.0
2016-07-26,v0_4_full_enriched_scores,DATA_GUARD,0,False,7.80287785663575,70.26055875457888,67.89530339949224,28.884005221833075,38.37306103074293,46.194201141818915,30.551920919666944,23.1476100737015,12.928213812208305,53.805798858181085,0.35,0.35,0.0011437620974839025,7.3412698412698415e-06,0.0,0.0,0.00040508855951619125,202.54529850759798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0004050885595161535,500205.06017946,0.35,0.0004050885595161535,0.0
2016-07-27,v0_4_full_enriched_scores,DATA_GUARD,0,False,9.197805430012233,66.79224955039454,68.67002202605164,33.94350368784148,43.803464323247276,46.6982268684631,40.90870177803145,26.373238277068204,17.397059992245303,53.3017731315369,0.35,0.35,0.006942613586431001,6.944444444444444e-06,0.0,0.0,0.002434428644139739,1217.7135264445194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0024344286441397855,501422.7737059045,0.35,0.0024344286441397855,0.0
2016-07-28,v0_4_full_enriched_scores,DATA_GUARD,0,False,7.152683381925082,66.92765429527795,71.31130874022409,31.167454577568055,48.07440500989718,53.60066673245599,42.54814328733836,21.21846055728811,12.824836320536146,46.39933326754401,0.35,0.35,0.0034910106475825042,6.944444444444444e-06,0.0,0.0,0.0012263676155427653,614.9286513685497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001226367615542845,502037.702357273,0.35,0.001226367615542845,0.0
2016-07-29,v0_4_full_enriched_scores,DATA_GUARD,0,False,4.798923001203918,69.87038952281377,74.88988814314047,29.815019053273083,46.02968386607333,51.46726678093788,40.59210095120877,19.309928308148535,9.568993337844008,48.53273321906212,0.35,0.35,0.0021742911810749277,4.563492063492064e-06,0.0,0.0,0.0007639681832174945,383.54083137657113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.000763968183217445,502421.2431886496,0.35,0.000763968183217445,0.0
2016-08-01,v0_4_full_enriched_scores,DATA_GUARD,0,False,2.481674780594348,73.49358876245384,76.70332776727089,26.22556036514265,46.846821249454486,52.038811877504656,41.654830621404315,18.952797129522928,9.28333346519879,47.961188122495344,0.35,0.35,0.005293760305475903,5.7539682539682555e-06,0.0,0.0,0.0018565561862816451,932.7732671612023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001856556186281777,503354.0164558108,0.35,0.001856556186281777,0.0
2016-08-02,v0_4_full_enriched_scores,DATA_GUARD,0,False,3.02508383187438,71.0865668317715,75.28135648320702,32.42248255382218,50.58135458424357,56.72379241081239,44.43891675767475,18.25395671613332,9.913206425115224,43.27620758918761,0.35,0.35,-0.007596685082873034,6.15079365079365e-06,0.0,0.0,-0.0026548417631325457,-1336.325264527393,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.002654841763132576,502017.6911912834,0.35,-0.002654841763132576,-0.002654841763132576
2016-08-03,v0_4_full_enriched_scores,DATA_GUARD,0,False,3.2381277223892635,66.57773457408925,73.93535905973805,37.818974862471656,49.53249622170968,56.04067873808971,43.02431370532965,18.829659596684305,10.453105708275643,43.95932126191029,0.35,0.35,0.0033054975643702633,6.15079365079365e-06,0.0,0.0,0.0011609221634026078,582.803464124167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001160922163402578,502600.49465540756,0.35,0.001160922163402578,-0.0014970016643731654
2016-08-04,v0_4_full_enriched_scores,DATA_GUARD,0,False,3.432050207728315,61.02059100278157,73.55143335984879,45.00224867724866,48.173384818650185,51.86432690175205,44.48244273554832,20.497206657105295,11.284384510057743,48.13567309824795,0.35,0.35,0.002861106294433924,5.7539682539682555e-06,0.0,0.0,0.0010051272824169526,505.17746933440594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0010051272824169732,503105.67212474195,0.35,0.0010051272824169732,-0.0004933790591709064
2016-08-05,v0_4_full_enriched_scores,DATA_GUARD,0,False,3.004769403829031,62.57280092803539,76.96644452972606,39.96481481481479,45.275635508043365,52.45623831701677,38.09503269906997,20.100760425862703,10.95309334015586,47.54376168298323,0.35,0.35,0.00959626523731294,4.9603174603174595e-06,0.0,0.0,0.0033619170394087352,1691.3995317393544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0033619170394088016,504797.0716564813,0.35,0.0033619170394088016,0.0
