candidate,csp_pnl,csp_entries,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
none,22024.15081980822,21,2016-07-25,2026-07-24,2514,1.9196451635372251,0.11314598763802608,0.09714847647741577,0.9160402874503913,1.336403422186565,-0.1646127076469418,-0.009434226831267717,-0.014756533987775402,-0.03963906914773596,-0.05904577147061063,-0.07989908359882625,-0.1268888707462542,0.411289433121857,0.5887105668781429,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
e55,18322.357231929287,16,2016-07-25,2026-07-24,2514,1.9516540209044781,0.11436087961156871,0.0946564914173088,0.9491753193458002,1.3911743645471766,-0.16465738482313375,-0.00907687001372665,-0.014199038964827854,-0.03963906914773607,-0.05904577147061063,-0.07994153214204458,-0.12692935631444502,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
b35,15654.214192996082,14,2016-07-25,2026-07-24,2514,1.9010109165286324,0.11243319563303511,0.09699174310103256,0.9107441760509211,1.3286556781510899,-0.1646008952464173,-0.009436543064914638,-0.014750375474329546,-0.03963906914773596,-0.05904577147061063,-0.07988786054089436,-0.1268781666801655,0.4112942255225061,0.588705774477494,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
e55_b35,13449.633850973341,11,2016-07-25,2026-07-24,2514,1.9374226799084076,0.11382220226133444,0.0946019042991233,0.944547375062648,1.3841078980821462,-0.16464659947276372,-0.009076870013726762,-0.01419610420828559,-0.03963906914773607,-0.05904577147061085,-0.07993128474053435,-0.12691958279179116,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
e50_b35,11440.924377364847,9,2016-07-25,2026-07-24,2514,1.9312569883012527,0.11358809215296839,0.09458261815844606,0.9424947513400713,1.3809217633771917,-0.16463996704131378,-0.009059698269105299,-0.014195027416506146,-0.03963906914773607,-0.05904577147061074,-0.07992498313779939,-0.1269135725986068,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
p25_e55_b35,13567.645269599727,11,2016-07-25,2026-07-24,2514,1.9376826102808846,0.113832062048842,0.09459903116156428,0.9446670488800628,1.3842844680694246,-0.16464659947276372,-0.009076870013726762,-0.014196104208285588,-0.03963906914773607,-0.05904577147061085,-0.07993128474053435,-0.12691958279179116,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
