candidate,period,start,end,return,max_drawdown,worst_day
panic_csp_0_0,2018_Q4,2018-10-01,2018-12-31,-0.0861162342796542,-0.11482642095274331,-0.02514227620904841
panic_csp_0_0,COVID_crash_recovery,2020-02-19,2020-04-30,0.03497797762190702,-0.07781686956067335,-0.029807702088631927
panic_csp_0_0,2022_bear,2022-01-03,2022-12-30,-0.10959650726992043,-0.1624697538006291,-0.0260740211640742
panic_csp_0.1_0.25,2018_Q4,2018-10-01,2018-12-31,-0.08611385140371075,-0.1148234217285592,-0.025141437446173476
panic_csp_0.1_0.25,COVID_crash_recovery,2020-02-19,2020-04-30,0.03497487582224035,-0.07782190594002614,-0.02981000072585105
panic_csp_0.1_0.25,2022_bear,2022-01-03,2022-12-30,-0.10959751547028629,-0.1624703340374739,-0.026074244929965906
panic_csp_0.15_0.35,2018_Q4,2018-10-01,2018-12-31,-0.08611146934888225,-0.1148204235377902,-0.025140598973054873
panic_csp_0.15_0.35,COVID_crash_recovery,2020-02-19,2020-04-30,0.03497177511262883,-0.07782694054927697,-0.029812298569391937
panic_csp_0.15_0.35,2022_bear,2022-01-03,2022-12-30,-0.10959852332550335,-0.1624709140756475,-0.026074468619730173
panic_csp_0.25_0.5,2018_Q4,2018-10-01,2018-12-31,-0.08610908811474294,-0.11481742637990167,-0.025139760789542387
panic_csp_0.25_0.5,COVID_crash_recovery,2020-02-19,2020-04-30,0.03496867549249494,-0.07783197338935999,-0.029814595619665818
panic_csp_0.25_0.5,2022_bear,2022-01-03,2022-12-30,-0.10959953083574214,-0.1624714939152475,-0.026074692233406305
