date,P_base,P,P_coverage,S_base,S,S_coverage,G_base,G,G_coverage,E_base,E,E_coverage,R,R_coverage,R_put,R_put_coverage,R_call,R_call_coverage,I,I_need,I_affordability,breadth_stress,breadth_recovery,liquidity_stress,liquidity_relief,tail_stress
2016-07-25,3.851095993953143,6.792112691398555,0.588,77.5586266854815,73.61297510068198,0.5515000000000001,66.28618636582884,67.51044991503461,0.7725000000000001,30.493579203693017,28.924115463217895,0.5000000000000001,32.26933858064123,0.82,40.374804901047405,0.835,23.86180519239383,0.8049999999999999,23.242100005452993,11.114401640953126,59.625195098952595,,,28.474544490796262,43.558207169591896,14.798941798941797
2016-07-26,5.468631897203331,7.80287785663575,0.588,73.87405150669305,70.26055875457888,0.5515000000000001,66.47797758799264,67.89530339949224,0.7725000000000001,30.80174595488802,28.884005221833075,0.5000000000000001,38.51613066692115,0.82,46.194201141818915,0.835,30.551920919666944,0.8049999999999999,23.1476100737015,12.928213812208305,53.805798858181085,,,27.65095039281786,42.73590693183426,11.624338624338622
2016-07-27,6.50415721844294,9.197805430012233,0.588,70.31712228119206,66.79224955039454,0.5515000000000001,67.52307640547485,68.67002202605164,0.7725000000000001,36.07538034686679,33.94350368784148,0.5000000000000001,43.85641729663537,0.82,46.6982268684631,0.835,40.90870177803145,0.8049999999999999,26.373238277068204,17.397059992245303,53.3017731315369,,,30.905038916238837,39.94263304627298,14.756613756613753
2016-07-28,4.542705971277406,7.152683381925082,0.588,70.54101072924267,66.92765429527795,0.5515000000000001,70.03188776730246,71.31130874022409,0.7725000000000001,33.497054174958045,31.167454577568055,0.5000000000000001,48.17549516335862,0.82,53.60066673245599,0.835,42.54814328733836,0.8049999999999999,21.21846055728811,12.824836320536146,46.39933326754401,,,30.6208123456898,39.40404083343739,10.201058201058197
2016-07-29,1.9614512471655383,4.798923001203918,0.588,73.57160218537092,69.87038952281377,0.5515000000000001,73.79587260298322,74.88988814314047,0.7725000000000001,32.09428924790484,29.815019053273083,0.5000000000000001,46.12915184622328,0.82,51.46726678093788,0.835,40.59210095120877,0.8049999999999999,19.309928308148535,9.568993337844008,48.53273321906212,,,29.074505177446355,41.67755869474173,9.301587301587299
2016-08-01,0.0,2.481674780594348,0.588,76.91407481483638,73.49358876245384,0.5515000000000001,75.5279296412806,76.70332776727089,0.7725000000000001,28.43815937102858,26.22556036514265,0.5000000000000001,46.94179668777248,0.82,52.038811877504656,0.835,41.654830621404315,0.8049999999999999,18.952797129522928,9.28333346519879,47.961188122495344,,,23.825339695437737,47.43910516032122,6.312169312169307
2016-08-02,0.0,3.02508383187438,0.588,74.06223865417668,71.0865668317715,0.5515000000000001,74.35430512029757,75.28135648320702,0.7725000000000001,34.766897135052275,32.42248255382218,0.5000000000000001,50.69371625180276,0.82,56.72379241081239,0.835,44.43891675767475,0.8049999999999999,18.25395671613332,9.913206425115224,43.27620758918761,,,25.262744312595192,48.420316622044616,11.322751322751321
2016-08-03,0.4421768707483044,3.2381277223892635,0.588,68.79934879934878,66.57773457408925,0.5515000000000001,72.6965618433892,73.93535905973805,0.7725000000000001,41.11396971785505,37.818974862471656,0.5000000000000001,49.65154834091176,0.82,56.04067873808971,0.835,43.02431370532965,0.8049999999999999,18.829659596684305,10.453105708275643,43.95932126191029,,,26.648986997857488,49.655282467620346,8.16402116402116
2016-08-04,0.45918367346939265,3.432050207728315,0.588,62.8174603174603,61.02059100278157,0.5515000000000001,72.15791105341405,73.55143335984879,0.7725000000000001,49.30114638447969,45.00224867724866,0.5000000000000001,48.240902051877654,0.82,51.86432690175205,0.835,44.48244273554832,0.8049999999999999,20.497206657105295,11.284384510057743,48.13567309824795,,,30.779938677828778,47.33350051987722,6.312169312169307
2016-08-05,0.45918367346939265,3.004769403829031,0.588,64.512617012617,62.57280092803539,0.5515000000000001,75.37828540269369,76.96644452972606,0.7725000000000001,44.3959435626102,39.96481481481479,0.5000000000000001,45.40698799845142,0.82,52.45623831701677,0.835,38.09503269906997,0.8049999999999999,20.100760425862703,10.95309334015586,47.54376168298323,,,32.032741775388835,47.79685809626141,0.08465608465607843
2016-08-08,0.01700680272109303,3.0275312613247825,0.588,66.05311355311353,63.38274002710306,0.5515000000000001,77.12260387764704,78.60334149074431,0.7725000000000001,43.209876543209845,38.88888888888886,0.5000000000000001,44.127951993805645,0.82,52.661779615372424,0.835,35.27609352919912,0.8049999999999999,20.66484412642329,11.773718707021862,47.338220384627576,,,36.91364684011743,43.04200418444527,0.0
2016-08-09,0.0,3.365458867659748,0.588,69.35083435083435,65.78862452544601,0.5515000000000001,77.46334953044892,78.92203240873701,0.7725000000000001,36.69091710758375,33.02182539682537,0.5000000000000001,45.68234610917537,0.82,55.49824953268067,0.835,35.50063262019783,0.8049999999999999,19.21564576232688,10.786944193996058,44.50175046731933,,,41.22687112883191,38.654604371120946,0.0
2016-08-10,0.0,3.6379173433995367,0.588,66.60256410256409,62.97222211726387,0.5515000000000001,75.44046495364303,76.9050810128754,0.7725000000000001,39.6869488536155,35.91137566137564,0.5000000000000001,47.62727448703058,0.82,56.04097360833888,0.835,38.90002136120148,0.8049999999999999,19.28584859184817,11.061455991910519,43.95902639166112,,,42.55280315329335,35.31922652610994,1.931216931216926
2016-08-11,0.0,4.116437079622353,0.588,65.82214082214081,62.59354366539136,0.5515000000000001,74.82889337363305,75.59714705161231,0.7725000000000001,35.65476190476188,33.419444444444416,0.5000000000000001,49.96515679442508,0.82,57.16919335931311,0.835,42.492646817180976,0.8049999999999999,19.02121571414925,11.084685405303372,42.83080664068689,,,36.57053411955372,38.000713760463995,13.301587301587297
2016-08-12,1.007180650037798,5.738689369641755,0.588,61.730769230769205,59.01337361167526,0.5515000000000001,75.08413867228691,75.19512916592153,0.7725000000000001,39.77513227513225,38.117724867724846,0.5000000000000001,49.173441734417345,0.82,56.845000475240006,0.835,41.215986394557824,0.8049999999999999,21.806712830779844,14.69061726611979,43.154999524759994,,,35.84954001620668,38.314461669358145,23.2010582010582
2016-08-15,1.1621315192743815,5.919466671267395,0.588,61.89560439560437,59.505796706201615,0.5515000000000001,76.16419695883293,75.89295734813467,0.7725000000000001,37.506613756613724,36.558597883597855,0.5000000000000001,47.65340689121177,0.82,56.74476443937522,0.835,38.223240987216144,0.8049999999999999,21.911087476753522,14.796371448796435,43.25523556062478,,,31.455816811208972,41.3021834470791,28.02645502645502
2016-08-16,3.473167044595622,7.180088537631559,0.588,57.61294261294259,56.019446902564106,0.5515000000000001,74.5354683615317,74.71073812734753,0.7725000000000001,45.864197530864175,43.55343915343913,0.5000000000000001,48.69676732481609,0.82,56.42512593859899,0.835,40.68039534654441,0.8049999999999999,23.58763070551891,16.925216253558215,43.57487406140101,,,28.796031675933637,43.88149129616554,22.75661375661375
2016-08-17,3.287981859410437,6.027208538212944,0.588,55.878103378103354,54.536101936897005,0.5515000000000001,72.39380695212151,73.34843803242802,0.7725000000000001,48.97045855379185,45.35912698412695,0.5000000000000001,48.29074719318623,0.82,58.35048157652948,0.835,37.85611587630221,0.8049999999999999,21.58355991054982,14.894907072909588,41.64951842347052,,,26.875632635436556,44.313825333958086,12.857142857142852
2016-08-18,3.4939531368102856,6.037134931192559,0.588,53.35673585673584,51.90851111936847,0.5515000000000001,71.05992246859078,72.53821039291958,0.7725000000000001,55.414462081128725,50.48306878306875,0.5000000000000001,47.16076267905537,0.82,56.1986344770776,0.835,37.78607578297019,0.8049999999999999,22.006895277798446,14.742071862757127,43.8013655229224,,,31.932746822452703,40.87711175270301,6.100529100529094
2016-08-19,1.6761148904006102,4.01096910950853,0.588,54.9165649165649,53.351024922715176,0.5515000000000001,71.44004071225187,73.28858176647505,0.7725000000000001,55.04188712522043,49.537698412698376,0.5000000000000001,45.449090205187765,0.82,55.557258498875264,0.835,34.96421998751191,0.8049999999999999,19.966393138412542,11.80761035084181,44.442741501124736,,,32.024032085306594,41.426013250813014,0.0
2016-08-22,2.020030234315954,4.375584425104237,0.588,53.827838827838804,52.33740461583254,0.5515000000000001,72.43265022436016,74.21694470822034,0.7725000000000001,57.8769841269841,52.08928571428568,0.5000000000000001,45.24341850561363,0.82,54.7459050153661,0.835,35.386802063820696,0.8049999999999999,20.454576142937405,12.18806986237191,45.2540949846339,,,32.97976723221821,40.984487766566126,0.0
