strategy,asset,initial_nav,ending_nav,covered_call_net_pnl,cash_secured_put_net_pnl,insurance_net_pnl,assigned_inventory_net_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,insurance_net_entry_debit,insurance_pnl_during_panic,call_intrinsic_cap_cost,covered_call_entry_groups,csp_entry_groups,insurance_entry_groups,call_assignments,csp_assignments,average_call_coverage,average_csp_collateral_weight,average_assigned_weight,proxy_iv_multiplier,proxy_spread_multiplier,insurance_structure
csp_gate_none,QQQ,500000.0,1459829.924328622,-1841.285985852102,22024.15081980822,-10528.159718454883,-7588.330228571465,4551.0647344048075,12491.600935274555,29183.973275473014,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,21,23,0,1,0.003376363477596595,0.015957163207886257,0.003610435508491814,1.0,1.0,protective_put
csp_gate_e55,QQQ,500000.0,1475834.4335107142,-1829.0873746793945,18322.357231929287,-10528.159718454883,0.0,4319.573938463918,13088.222370313586,23082.030213181417,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,16,23,0,0,0.003388353485939528,0.00966314807505598,0.0,1.0,1.0,protective_put
csp_gate_b35,QQQ,500000.0,1450512.7539614127,-1841.285985852102,15654.214192996082,-10528.159718454883,-7588.330228571465,4240.093636298479,12491.600935274555,21182.282733193282,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,14,23,0,1,0.003386559544387252,0.011187367476578726,0.003615227909140969,1.0,1.0,protective_put
csp_gate_e55_b35,QQQ,500000.0,1468718.7272225504,-1841.285985852102,13449.633850973341,-10528.159718454883,0.0,4047.3095692647926,12491.600935274555,16763.64382868838,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,11,23,0,0,0.00334710879910886,0.007957641580690492,0.0,1.0,1.0,protective_put
csp_gate_e50_b35,QQQ,500000.0,1465635.8659129927,-1841.285985852102,11440.924377364847,-10528.159718454883,0.0,3946.646806091261,12491.600935274555,14226.275576834241,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,9,23,0,0,0.003350629981405888,0.006234914954950268,0.0,1.0,1.0,protective_put
csp_gate_p25_e55_b35,QQQ,500000.0,1468848.693062483,-1841.285985852102,13567.645269599727,-10528.159718454883,0.0,4046.411936888734,12491.600935274555,16803.232968152275,56024.64814108339,0.0,56024.64814108339,3748.93792533099,0.0,23,11,23,0,0,0.003347065547416942,0.00782309716118222,0.0,1.0,1.0,protective_put
