date,metric,value
2026-07-24,P_base,23.485714285714298
2026-07-24,P,21.32672055384234
2026-07-24,P_coverage,1.0
2026-07-24,S_base,42.34656084656087
2026-07-24,S,45.91603575989677
2026-07-24,S_coverage,1.0
2026-07-24,G_base,35.03306878306883
2026-07-24,G,35.15125661375665
2026-07-24,G_coverage,1.0
2026-07-24,E_base,67.26521164021159
2026-07-24,E,60.27073412698409
2026-07-24,E_coverage,1.0
2026-07-24,R,65.23147139616066
2026-07-24,R_coverage,0.82
2026-07-24,R_put,68.82108798276464
2026-07-24,R_put_coverage,0.835
2026-07-24,R_call,61.64185480955669
2026-07-24,R_call_coverage,0.8049999999999999
2026-07-24,I,19.431994696298716
2026-07-24,I_need,15.516355589319836
2026-07-24,I_affordability,31.178912017235362
2026-07-24,breadth_stress,6.518518518518536
2026-07-24,breadth_recovery,57.768518518518505
2026-07-24,liquidity_stress,30.379110300328026
2026-07-24,liquidity_relief,54.908373471983396
2026-07-24,tail_stress,17.42063492063491
