date,QQQ_Haven_35_20_45,TQQQ_Haven_35_20_45,QQQ_Haven_50_15_35,TQQQ_Haven_50_15_35,QQQ_Haven_60_10_30,TQQQ_Haven_60_10_30,QQQ_Static35,TQQQ_Static35,QQQ_BuyHold,TQQQ_BuyHold,BIL_like_Cash
2016-07-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-07-26,100.04050885595161,100.11753403872696,100.05755516836625,100.16759114375964,100.06891937664268,100.20096254711474,100.04050885595161,100.11753403872696,100.11437620974839,100.33444816053512,100.00073412698414
2016-07-27,100.28405033628486,100.80106634861818,100.4052330614013,101.14425597549928,100.48604124940942,101.37321163493868,100.28405033628486,100.80106634861818,100.80943163821925,102.29033487151263,100.00142857652668
2016-07-28,100.40703544797276,101.18554329521578,100.58083955952794,101.69507773042106,100.69679908126284,102.03555318895108,100.40703544797276,101.18554329521578,101.161358437445,103.40375089962322,100.0021230308918
2016-07-29,100.48374322842619,101.4178348584741,100.6904150756792,102.02839498129472,100.82834939020312,102.43677989902969,100.48374322842619,101.4178348584741,101.3813126869611,104.0811142627323,100.00257938978659
2016-08-01,100.67029694353764,101.97552755093709,100.95722022163986,102.82964357867408,101.14883812365282,103.40200888259798,100.67029694353764,101.97552755093709,101.91800105578037,105.715253376233,100.0031548014537
2016-08-02,100.40303323490498,101.1712306852625,100.57406060072141,101.67075335443683,100.68804946007101,102.00347274331658,100.40303323490498,101.1712306852625,101.14376209748369,103.33178104229286,100.00376990022333
2016-08-03,100.51959334146025,101.50820940460285,100.74059356204535,102.15426036982494,100.88799164598802,102.5854544239183,100.51959334146025,101.50820940460285,101.47809255674815,104.31395791880107,100.00438500277629
2016-08-04,100.6206283271452,101.82580220775164,100.88499816430665,102.61060007123297,101.06141460926719,103.1352554677114,100.6206283271452,101.82580220775164,101.76843216610942,105.2453325430761,100.00496042483282
2016-08-05,100.95890653203425,102.85688124425585,101.36930797554086,104.09470455077106,101.64350241185612,104.92518452628636,100.95890653203425,102.85688124425585,102.7450290339609,108.28923415604761,100.00545648118413
2016-08-08,100.91994836469256,102.74326646167604,101.31317723786646,103.93018775317316,101.57584636191534,104.72606858035924,100.91994836469256,102.74326646167604,102.63065282421253,107.94631895347362,100.00603190940596
2016-08-09,101.00216074384983,102.98207301363036,101.43077958918848,104.2749717478177,101.71719398734528,105.14283228216965,101.00216074384983,102.98207301363036,102.86820341368991,108.66178400575761,100.00672639573864
2016-08-10,100.91185956681879,102.7044367514689,101.3009630913647,103.87309419563269,101.56084917963568,104.65643617768747,100.91185956681879,102.7044367514689,102.6042583142706,107.8235468439101,100.00734151647642
2016-08-11,101.06366534587696,103.16916638805115,101.51841488910878,104.54429193338468,101.82234390450505,105.46782709882288,101.06366534587696,103.16916638805115,103.04416681330282,109.21637525930316,100.00791695554463
2016-08-12,101.08820472741,103.23673737937031,101.55337854576152,104.64185074916044,101.86430872633214,105.58581049734128,101.08820472741,103.23673737937031,103.11455217314796,109.41958426823588,100.00849239792393
2016-08-15,101.23955116487294,103.6915020086979,101.77031496369302,105.30008097367491,102.12530416242835,106.38268224467676,101.23955116487294,103.6915020086979,103.55446067218014,110.79547859955126,100.00910752952402
2016-08-16,101.04432422465892,103.11925191399037,101.48965429407244,104.4695854655999,101.78719473742824,105.37569378666065,101.04432422465892,103.11925191399037,102.98257962343828,109.0470344185259,100.0098020372152
2016-08-17,101.10812552293622,103.28915444513804,101.58096769369631,104.71524187379958,101.89698300694134,105.67292539065159,101.10812552293622,103.28915444513804,103.16734119303183,109.55929046187715,100.01033780401183
2016-08-18,101.11760952113636,103.3245173396605,101.59429457514501,104.76616394590954,101.91289157958381,105.73445235133867,101.11760952113636,103.3245173396605,103.19373570297377,109.66512848736296,100.01099263360457
2016-08-19,101.10898765272947,103.27609492601817,101.58163447009487,104.69572991257633,101.89751835406253,105.64901187607106,101.10898765272947,103.27609492601817,103.16734119303183,109.51695525168286,100.01164746748492
2016-08-22,101.13657925986121,103.31146684773142,101.6209502590288,104.74666204462505,101.94471057382594,105.7105485850697,101.13657925986121,103.31146684773142,103.24652472285763,109.62279327716864,100.01230230565285
2016-08-23,101.20032862958882,103.52692924611526,101.71218907075743,105.05846533524088,102.05442055960474,106.08802557741697,101.20032862958882,103.52692924611526,103.43128629245115,110.27475551416114,100.01291746068688
2016-08-24,100.97177594262776,102.8290559133541,101.3837483938814,104.04645996771002,101.65883197756098,104.86157917547526,100.97177594262776,102.8290559133541,102.7626253739222,108.14952796240635,100.01357230717025
2016-08-25,100.91474350653111,102.65905070260371,101.30163932406104,103.8004104193448,101.5598925580218,104.56386095916083,100.91474350653111,102.65905070260371,102.59546014428997,107.6372719190551,100.0142668458668
2016-08-26,100.96674261302338,102.83339093254686,101.37587261080299,104.05189266684802,101.64904242195524,104.86769740915891,100.96674261302338,102.83339093254686,102.74502903396092,108.15799500444523,100.01504076578884
2016-08-29,101.01569349750238,102.93395855191814,101.44573237400911,104.19690029138413,101.73293465133769,105.04290023564245,101.01569349750238,102.93395855191814,102.88579975365121,108.4585749968249,100.01585438020777
2016-08-30,100.90131285966683,102.60822477523229,101.28129941358705,103.72551138786712,101.53489902504947,104.47247819981177,100.90131285966683,102.60822477523229,102.55146929438675,107.4763981203167,100.0166283124143
2016-08-31,100.86546265527842,102.51537615625155,101.22955608388355,103.59108220790112,101.47249441907628,104.30983980954322,100.86546265527842,102.51537615625155,102.445891254619,107.1969857330342,100.01740225060958
2016-09-01,100.95692561472553,102.67459810484098,101.36035339179072,103.82058535670315,101.62967082451108,104.58699302107613,100.95692561472553,102.67459810484098,102.70983635403832,107.67114008721057,100.0181761947937
2016-09-02,101.0724520018205,103.09618010128463,101.52571444062337,104.42922308399616,101.82847404208574,105.32258801831466,101.0724520018205,103.09618010128463,103.04416681330282,108.93272935100129,100.01895014496662
2016-09-06,101.2934522735422,103.76561580368184,101.842508254004,105.39757900101816,102.20960267858648,106.49439296013207,101.2934522735422,103.76561580368184,103.68643322188981,110.95211887727028,100.01972410112847
2016-09-07,101.3149936645336,103.83262737546963,101.87312805257527,105.4944838065403,102.24632881121369,106.61173248721292,101.3149936645336,103.83262737546963,103.74802041175433,111.15532788620301,100.02045837291256
2016-09-08,101.10803641810931,103.21032301332671,101.57549094887403,104.59088110437868,101.88768950151221,105.51575216761877,101.10803641810931,103.21032301332671,103.14094668308988,109.25024342745868,100.02127203140327
2016-09-09,100.21809087709875,100.47285821296947,100.29789091103692,100.62752499260293,100.34968346086521,100.71748842381476,100.21809087709875,100.47285821296947,100.54548653879989,100.96947631344995,100.02212538749401
