date,state,event_id,event_active,deployment_fraction,P,S,G,E,R_proxy,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,gross_return,portfolio_return,equity,drawdown
2016-07-25,DATA_GUARD,0,False,0.0,3.851095993953143,77.5586266854815,66.28618636582884,30.493579203693017,18.647355671803695,0.35,0.35,0.0,7.738095238095238e-06,0.0,0.0,5.029761904761905e-06,5.029761904761905e-06,100000.50297619047,0.0
2016-07-26,DATA_GUARD,0,False,0.0,5.468631897203331,73.87405150669305,66.47797758799264,30.80174595488802,31.155264937760645,0.35,0.35,0.0011437620974839025,7.3412698412698415e-06,0.0,0.0,0.00040508855951619125,0.00040508855951619125,100041.012035892,0.0
2016-07-27,DATA_GUARD,0,False,0.0,6.50415721844294,70.31712228119206,67.52307640547485,36.07538034686679,44.47269529645439,0.35,0.35,0.006942613586431001,6.944444444444444e-06,0.0,0.0,0.002434428644139739,0.002434428644139739,100284.5547411809,0.0
2016-07-28,DATA_GUARD,0,False,0.0,4.542705971277406,70.54101072924267,70.03188776730246,33.497054174958045,51.51156765453916,0.35,0.35,0.0034910106475825042,6.944444444444444e-06,0.0,0.0,0.0012263676155427653,0.0012263676155427653,100407.54047145462,0.0
2016-07-29,DATA_GUARD,0,False,0.0,1.9614512471655383,73.57160218537092,73.79587260298322,32.09428924790484,49.70358973453873,0.35,0.35,0.0021742911810749277,4.563492063492064e-06,0.0,0.0,0.0007639681832174945,0.0007639681832174945,100484.24863772994,0.0
2016-08-01,DATA_GUARD,0,False,0.0,0.0,76.91407481483638,75.5279296412806,28.43815937102858,50.1186023012217,0.35,0.35,0.005293760305475903,5.7539682539682555e-06,0.0,0.0,0.0018565561862816451,0.0018565561862816451,100670.80329116216,0.0
2016-08-02,DATA_GUARD,0,False,0.0,0.0,74.06223865417668,74.35430512029757,34.766897135052275,52.32756544097243,0.35,0.35,-0.007596685082873034,6.15079365079365e-06,0.0,0.0,-0.0026548417631325457,-0.0026548417631325457,100403.53823825667,-0.002654841763132576
2016-08-03,DATA_GUARD,0,False,0.0,0.4421768707483044,68.79934879934878,72.6965618433892,41.11396971785505,56.45309853709376,0.35,0.35,0.0033054975643702633,6.15079365079365e-06,0.0,0.0,0.0011609221634026078,0.0011609221634026078,100520.09893108152,-0.0014970016643729434
2016-08-04,DATA_GUARD,0,False,0.0,0.45918367346939265,62.8174603174603,72.15791105341405,49.30114638447969,55.91931216931216,0.35,0.35,0.002861106294433924,5.7539682539682555e-06,0.0,0.0,0.0010051272824169526,0.0010051272824169526,100621.1344249484,-0.0004933790591707954
2016-08-05,DATA_GUARD,0,False,0.0,0.45918367346939265,64.512617012617,75.37828540269369,44.3959435626102,51.593915343915334,0.35,0.35,0.00959626523731294,4.9603174603174595e-06,0.0,0.0,0.0033619170394087352,0.0033619170394087352,100959.41433129627,0.0
2016-08-08,DATA_GUARD,0,False,0.0,0.01700680272109303,66.05311355311353,77.12260387764704,43.209876543209845,48.69708994708994,0.35,0.35,-0.0011132043158074145,5.7539682539682555e-06,0.0,0.0,-0.0003858814311675157,-0.0003858814311675157,100920.45596800427,-0.00038588143116757845
2016-08-09,DATA_GUARD,0,False,0.0,0.0,69.35083435083435,77.46334953044892,36.69091710758375,48.73677248677247,0.35,0.35,0.0023146163737677306,6.944444444444444e-06,0.0,0.0,0.0008146296197075945,0.0008146296197075945,101002.66876067022,0.0
2016-08-10,DATA_GUARD,0,False,0.0,0.0,66.60256410256409,75.44046495364303,39.6869488536155,51.19708994708994,0.35,0.35,-0.0025658569962366817,6.15079365079365e-06,0.0,0.0,-0.0008940519328098226,-0.0008940519328098226,100912.36712944577,-0.0008940519328100027
2016-08-11,DATA_GUARD,0,False,0.0,0.0,65.82214082214081,74.82889337363305,35.65476190476188,52.0701058201058,0.35,0.35,0.004287429257417319,5.7539682539682555e-06,0.0,0.0,0.0015043403194611408,0.0015043403194611408,101064.17367205088,0.0
2016-08-12,DATA_GUARD,0,False,0.0,1.007180650037798,61.730769230769205,75.08413867228691,39.77513227513225,51.68650793650793,0.35,0.35,0.000683060109289535,5.7539682539682555e-06,0.0,0.0,0.00024281111761641658,0.00024281111761641658,101088.71317701116,0.0
2016-08-15,DATA_GUARD,0,False,0.0,1.1621315192743815,61.89560439560437,76.16419695883293,37.506613756613724,50.2116402116402,0.35,0.35,0.00426621160409546,6.15079365079365e-06,0.0,0.0,0.0014971720773064268,0.0014971720773064268,101240.06037571063,0.0
2016-08-16,DATA_GUARD,0,False,0.0,3.473167044595622,57.61294261294259,74.5354683615317,45.864197530864175,52.123015873015866,0.35,0.35,-0.005522514868309347,6.944444444444444e-06,0.0,0.0,-0.0019283663150193825,-0.0019283663150193825,101044.83245355159,-0.0019283663150193586
2016-08-17,DATA_GUARD,0,False,0.0,3.287981859410437,55.878103378103354,72.39380695212151,48.97045855379185,54.953703703703695,0.35,0.35,0.0017941050832979144,5.357142857142857e-06,0.0,0.0,0.0006314189220114129,0.0006314189220114129,101108.63407273423,-0.0012981649999878053
2016-08-18,DATA_GUARD,0,False,0.0,3.4939531368102856,53.35673585673584,71.05992246859078,55.414462081128725,55.78042328042327,0.35,0.35,0.0002558417192564111,6.547619047619047e-06,0.0,0.0,9.380055412069626e-05,9.380055412069626e-05,101118.11811863663,-0.0012044862144635626
2016-08-19,DATA_GUARD,0,False,0.0,1.6761148904006102,54.9165649165649,71.44004071225187,55.04188712522043,52.29497354497354,0.35,0.35,-0.0002557762810129205,6.547619047619047e-06,0.0,0.0,-8.526574597356979e-05,-8.526574597356979e-05,101109.4962068638,-0.0012896492590215303
2016-08-22,DATA_GUARD,0,False,0.0,2.020030234315954,53.827838827838804,72.43265022436016,57.8769841269841,50.05291005291005,0.35,0.35,0.0007675251577690112,6.547619047619047e-06,0.0,0.0,0.00027288975760010625,0.00027288975760010625,101137.08795277476,-0.0010171114334951437
2016-08-23,DATA_GUARD,0,False,0.0,1.7365835222978132,53.423890923890916,72.73695771728019,56.66446208112871,50.27116402116402,0.35,0.35,0.001789518534299095,6.15079365079365e-06,0.0,0.0,0.000630329502877699,0.000630329502877699,101200.83764314653,-0.00038742304596162125
2016-08-24,DATA_GUARD,0,False,0.0,3.478835978835985,43.226495726495706,69.6372149603841,59.66049382716046,55.224867724867714,0.35,0.35,-0.006464783940115737,6.547619047619047e-06,0.0,0.0,-0.0022584184266595557,-0.0022584184266595557,100972.28380661986,-0.0026449665092753705
2016-08-25,DATA_GUARD,0,False,0.0,5.958049886621322,33.07997557997556,63.95605061881192,62.5617283950617,59.19312169312169,0.35,0.35,-0.0016267123287670993,6.944444444444444e-06,0.0,0.0,-0.0005648354261795958,-0.0005648354261795958,100915.25108366364,-0.0032083079646693102
2016-08-26,DATA_GUARD,0,False,0.0,10.149281934996228,27.126577126577107,58.261849977512554,67.54409171075834,61.944444444444436,0.35,0.35,0.0014578509561786746,7.738095238095238e-06,0.0,0.0,0.0005152775965672979,0.0005152775965672979,100967.25045169902,-0.0026946835373190536
2016-08-29,DATA_GUARD,0,False,0.0,11.014739229024952,31.77960927960926,56.928293094062816,66.22795414462077,61.269841269841265,0.35,0.35,0.0013700976194552794,8.134920634920636e-06,0.0,0.0,0.00048482186522204616,0.00048482186522204616,101016.20158238933,-0.002211168113595896
2016-08-30,DATA_GUARD,0,False,0.0,10.68594104308391,37.35551485551483,57.114118594674856,66.7085537918871,60.84656084656084,0.35,0.35,-0.003249529673336693,7.738095238095238e-06,0.0,0.0,-0.0011323056237630806,-0.0011323056237630806,100901.8203692464,-0.0033409700192689185
2016-08-31,DATA_GUARD,0,False,0.0,7.666288737717317,33.35571835571834,56.20814226191913,66.41534391534388,61.772486772486765,0.35,0.35,-0.0010295126973233204,7.738095238095238e-06,0.0,0.0,-0.0003552996821584002,-0.0003552996821584002,100865.96998454,-0.0036950826558413974
2016-09-01,DATA_GUARD,0,False,0.0,5.304232804232812,34.39458689458687,55.026491220152906,65.44532627865958,63.16137566137565,0.35,0.35,0.002576434215046275,7.738095238095238e-06,0.0,0.0,0.000906781737170958,0.000906781737170958,100957.433404024,-0.0027916515521402285
2016-09-02,DATA_GUARD,0,False,0.0,2.1560846560846625,39.078144078144064,56.643042729847956,59.45987654320984,61.21693121693121,0.35,0.35,0.00325509679629965,7.738095238095238e-06,0.0,0.0,0.0011443136406096394,0.0011443136406096394,101072.96037218918,-0.0016505324364815
2016-09-06,DATA_GUARD,0,False,0.0,0.9070294784580563,49.877899877899864,60.89131675368393,49.63624338624336,58.39285714285713,0.35,0.35,0.006232923497267562,7.738095238095238e-06,0.0,0.0,0.0021865529859484084,0.0021865529859484084,101293.96175548964,0.0
2016-09-07,DATA_GUARD,0,False,0.0,0.1681783824641027,56.06532356532355,64.69248249502756,39.46428571428569,54.279100529100525,0.35,0.35,0.0005939753924479874,7.3412698412698415e-06,0.0,0.0,0.00021266321275362096,0.00021266321275362096,101315.50325482912,0.0
2016-09-08,DATA_GUARD,0,False,0.0,0.0,56.77146927146925,64.46859332698008,36.71296296296293,54.52380952380952,0.35,0.35,-0.005851424694708229,8.134920634920636e-06,0.0,0.0,-0.0020427109447351817,-0.0020427109447351817,101108.54496745914,-0.002042710944735071
2016-09-09,DATA_GUARD,0,False,0.0,12.550018979235853,40.81298331298329,52.58503467789355,51.48567019400349,61.2037037037037,0.35,0.35,-0.02516420711421996,8.53174603174603e-06,0.0,0.0,-0.008801926855056352,-0.008801926855056352,100218.5949502344,-0.010826658007469736
2016-09-12,DATA_GUARD,0,False,0.0,15.90413840478385,34.76190476190474,46.82068265238669,63.90630511463841,57.1031746031746,0.35,0.35,0.01793839691984589,8.53174603174603e-06,0.0,0.0,0.006283984556866696,0.006283984556866696,100848.36705321257,-0.004610708002324215
2016-09-13,DATA_GUARD,0,False,0.0,27.52889034857424,25.912698412698393,37.82879811254853,76.1241181657848,60.74074074074074,0.35,0.35,-0.008940084243101443,9.325396825396825e-06,0.0,0.0,-0.003122967977148997,-0.003122967977148997,100533.42083235762,-0.007719276886030024
2016-09-14,DATA_GUARD,0,False,0.0,26.30983537887384,32.67602767602766,40.004381822297354,75.44091710758373,59.11375661375661,0.35,0.35,0.004770578541070325,8.928571428571428e-06,0.0,0.0,0.0016755060608031852,0.0016755060608031852,100701.86518827551,-0.006056704520434386
2016-09-15,DATA_GUARD,0,False,0.0,27.065693277588878,35.551485551485534,41.54189645306699,70.50925925925922,60.29761904761904,0.35,0.35,0.015538674033149125,7.738095238095238e-06,0.0,0.0,0.005443565673506955,0.005443565673506955,101250.04240487254,-0.0006461089157493438
2016-09-16,DATA_GUARD,0,False,0.0,15.440941333798486,50.64407814407813,49.6287910710509,54.609788359788325,47.65873015873015,0.35,0.35,-0.00047713362801760084,6.15079365079365e-06,0.0,0.0,-0.0001629987539331444,-0.0001629987539331444,101233.53877412487,-0.0008090023547343561
2016-09-19,DATA_GUARD,0,False,0.0,5.995842781557073,57.65059015059014,54.05865517459542,43.30467372134035,37.347883597883595,0.35,0.35,-0.004348196777218871,6.547619047619047e-06,0.0,0.0,-0.0015176129196456524,-0.0015176129196456524,101079.9054477798,-0.002325387521954436
2016-09-20,DATA_GUARD,0,False,0.0,1.8858654572940339,60.35816035816035,52.808504357473595,37.61684303350967,37.857142857142854,0.35,0.35,0.0018838842267512312,6.547619047619047e-06,0.0,0.0,0.0006636154317438833,0.0006636154317438833,101146.98363287415,-0.0016633152532550266
2016-09-21,DATA_GUARD,0,False,0.0,1.8858654572940339,61.54761904761904,55.30891992648602,31.220238095238063,36.67328042328042,0.35,0.35,0.009829059829059794,6.547619047619047e-06,0.0,0.0,0.00344442689255188,0.00344442689255188,101495.37702339975,0.0
2016-09-22,DATA_GUARD,0,False,0.0,0.0,72.12148962148962,63.472096990505406,22.34457671957669,27.400793650793645,0.35,0.35,0.007955988150655902,3.3730158730158734e-06,0.0,0.0,0.0027867883130470255,0.0027867883130470255,101778.22315391684,0.0
2016-09-23,DATA_GUARD,0,False,0.0,0.0,77.45726495726494,70.93400793118765,22.889109347442652,17.149470899470895,0.35,0.35,-0.006381728104794759,1.7857142857142853e-06,0.0,0.0,-0.0022324441223924513,-0.0022324441223924513,101551.00895784934,-0.0022324441223924296
