date,state,event_id,event_active,deployment_fraction,P,S,G,E,R_proxy,R_put,R_call,I,I_need,I_affordability,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,gross_return,portfolio_return,equity,drawdown
2016-07-25,DATA_GUARD,0,False,0.0,3.851095993953143,77.5586266854815,66.28618636582884,30.493579203693017,18.647355671803695,18.647355671803695,18.647355671803695,30.2486977367235,13.214048872899228,81.3526443281963,0.35,0.35,0.0,7.738095238095238e-06,0.0,0.0,5.029761904761905e-06,5.029761904761905e-06,100000.50297619047,0.0
2016-07-26,DATA_GUARD,0,False,0.0,5.468631897203331,73.87405150669305,66.47797758799264,30.80174595488802,31.155264937760645,31.155264937760645,31.155264937760645,29.166107346306447,15.939898107662147,68.84473506223935,0.35,0.35,0.0033444816053511683,7.3412698412698415e-06,0.0,0.0,0.001175340387269734,0.001175340387269734,100118.03760608567,0.0
2016-07-27,DATA_GUARD,0,False,0.0,6.50415721844294,70.31712228119206,67.52307640547485,36.07538034686679,44.47269529645439,44.47269529645439,44.47269529645439,28.202765581513887,19.09458587416998,55.52730470354561,0.35,0.35,0.019493670886075787,6.944444444444444e-06,0.0,0.0,0.006827298699015414,0.006827298699015414,100801.57335398167,0.0
2016-07-28,DATA_GUARD,0,False,0.0,4.542705971277406,70.54101072924267,70.03188776730246,33.497054174958045,51.51156765453916,51.51156765453916,51.51156765453916,23.07071049169995,14.598136540446319,48.48843234546084,0.35,0.35,0.010884860524791096,6.944444444444444e-06,0.0,0.0,0.003814215072565772,0.003814215072565772,101186.05223440677,0.0
2016-07-29,DATA_GUARD,0,False,0.0,1.9614512471655383,73.57160218537092,73.79587260298322,32.09428924790484,49.70358973453873,49.70358973453873,49.70358973453873,19.971123267780918,9.862694268554133,50.29641026546127,0.35,0.35,0.0065506653019447025,4.563492063492064e-06,0.0,0.0,0.0022956991255219153,0.0022956991255219153,101418.34496603633,0.0
2016-08-01,DATA_GUARD,0,False,0.0,0.0,76.91407481483638,75.5279296412806,28.43815937102858,50.1186023012217,50.1186023012217,50.1186023012217,19.561459546563984,9.454813495825878,49.8813976987783,0.35,0.35,0.015700630465731225,5.7539682539682555e-06,0.0,0.0,0.005498960742371007,0.005498960742371007,101976.04046356078,0.0
2016-08-02,DATA_GUARD,0,False,0.0,0.0,74.06223865417668,74.35430512029757,34.766897135052275,52.32756544097243,52.32756544097243,52.32756544097243,19.508387689129453,10.12037206583008,47.67243455902757,0.35,0.35,-0.022546153538104297,6.15079365079365e-06,0.0,0.0,-0.007887155722463486,-0.007887155722463486,101171.73955246445,-0.007887155722463346
2016-08-03,DATA_GUARD,0,False,0.0,0.4421768707483044,68.79934879934878,72.6965618433892,41.11396971785505,56.45309853709376,56.45309853709376,56.45309853709376,18.948776350936868,10.749401313613744,43.54690146290624,0.35,0.35,0.009505080301540625,6.15079365079365e-06,0.0,0.0,0.0033307761214122346,0.0033307761214122346,101508.71996672754,-0.004582649950997331
2016-08-04,DATA_GUARD,0,False,0.0,0.45918367346939265,62.8174603174603,72.15791105341405,49.30114638447969,55.91931216931216,55.91931216931216,55.91931216931216,19.786749795479977,11.688770450410688,44.08068783068784,0.35,0.35,0.008928571428571619,5.7539682539682555e-06,0.0,0.0,0.003128740079365146,0.003128740079365146,101826.3143672925,-0.0014682477922034476
2016-08-05,DATA_GUARD,0,False,0.0,0.45918367346939265,64.512617012617,75.37828540269369,44.3959435626102,51.593915343915334,51.593915343915334,51.593915343915334,20.61985320881771,11.357776059728721,48.406084656084666,0.35,0.35,0.028921962992759287,4.9603174603174595e-06,0.0,0.0,0.010125911253814956,0.010125911253814956,102857.39858987877,0.0
