date,iv_percentile,iv_minus_realized
2016-07-25,32.73809523809524,31.060606060606062
2016-07-26,36.07142857142857,65.85657370517929
2016-07-27,26.626984126984127,74.48248407643312
2016-07-28,22.61904761904762,83.4128878281623
2016-07-29,10.595238095238095,80.48489666136724
2016-08-01,18.174603174603174,85.42494042891184
2016-08-02,31.071428571428573,88.21428571428571
2016-08-03,27.936507936507937,87.89682539682539
2016-08-04,17.182539682539684,83.21428571428571
2016-08-05,8.214285714285714,85.11904761904762
2016-08-08,11.507936507936508,86.94444444444444
2016-08-09,13.214285714285714,87.42063492063492
2016-08-10,18.76984126984127,89.32539682539682
2016-08-11,15.079365079365079,88.61111111111111
2016-08-12,10.753968253968255,87.57936507936508
2016-08-15,10.952380952380953,88.2936507936508
2016-08-16,24.642857142857142,90.51587301587301
2016-08-17,22.261904761904763,93.05555555555556
2016-08-18,12.896825396825397,91.30952380952381
2016-08-19,5.238095238095238,89.0079365079365
2016-08-22,10.952380952380953,90.91269841269842
2016-08-23,14.047619047619047,91.46825396825396
2016-08-24,30.27777777777778,93.69047619047619
2016-08-25,31.666666666666668,94.0079365079365
2016-08-26,28.73015873015873,93.2936507936508
2016-08-29,26.30952380952381,93.61111111111111
2016-08-30,27.77777777777778,95.35714285714286
2016-08-31,31.746031746031747,95.83333333333333
2016-09-01,32.42063492063492,95.83333333333333
2016-09-02,15.714285714285714,95.75396825396825
2016-09-06,15.753968253968255,94.88095238095238
2016-09-07,9.96031746031746,93.61111111111111
2016-09-08,18.452380952380953,94.48412698412699
2016-09-09,61.54761904761905,89.16666666666667
2016-09-12,31.30952380952381,47.65873015873016
2016-09-13,61.46825396825397,73.2936507936508
2016-09-14,64.16666666666667,76.78571428571429
2016-09-15,42.698412698412696,43.37301587301587
2016-09-16,28.49206349206349,30.436507936507937
2016-09-19,40.55555555555556,38.53174603174603
2016-09-20,45.198412698412696,43.92857142857143
2016-09-21,26.23015873015873,25.595238095238095
2016-09-22,7.222222222222222,16.23015873015873
2016-09-23,10.992063492063492,16.626984126984127
2016-09-26,44.007936507936506,32.26190476190476
2016-09-27,28.015873015873016,19.166666666666668
2016-09-28,27.341269841269842,19.484126984126984
2016-09-29,42.023809523809526,26.626984126984127
2016-09-30,34.24603174603175,18.76984126984127
2016-10-03,38.17460317460318,21.785714285714285
2016-10-04,42.34126984126984,26.547619047619047
2016-10-05,38.214285714285715,22.5
2016-10-06,36.70634920634921,22.57936507936508
2016-10-07,36.26984126984127,55.833333333333336
2016-10-10,34.88095238095238,67.81746031746032
2016-10-11,52.46031746031746,74.56349206349206
2016-10-12,55.23809523809524,77.73809523809524
2016-10-13,60.51587301587302,89.96031746031746
2016-10-14,57.61904761904762,88.92857142857143
2016-10-17,59.92063492063492,89.96031746031746
2016-10-18,51.904761904761905,84.08730158730158
2016-10-19,44.32539682539682,84.64285714285714
2016-10-20,36.111111111111114,81.07142857142857
2016-10-21,33.01587301587302,79.88095238095238
2016-10-24,25.753968253968253,71.62698412698413
2016-10-25,39.12698412698413,86.15079365079364
2016-10-26,46.23015873015873,87.73809523809524
2016-10-27,57.301587301587304,92.02380952380952
2016-10-28,66.26984126984127,95.83333333333333
2016-10-31,74.56349206349206,98.13492063492063
2016-11-01,82.06349206349206,99.0
2016-11-02,84.44444444444444,99.0
2016-11-03,88.05555555555556,99.0
2016-11-04,89.64285714285714,99.0
2016-11-07,77.18253968253968,81.86507936507937
2016-11-08,80.1984126984127,89.4047619047619
2016-11-09,54.285714285714285,61.94444444444444
2016-11-10,72.89682539682539,69.88095238095238
2016-11-11,72.02380952380952,68.61111111111111
2016-11-14,77.5,71.7063492063492
2016-11-15,60.91269841269841,44.96031746031746
2016-11-16,56.94444444444444,39.24603174603175
2016-11-17,40.91269841269841,27.103174603174605
2016-11-18,35.23809523809524,22.42063492063492
2016-11-21,22.77777777777778,17.57936507936508
2016-11-22,15.555555555555555,14.880952380952381
2016-11-23,15.119047619047619,15.436507936507937
2016-11-25,17.61904761904762,16.547619047619047
2016-11-28,29.047619047619047,23.76984126984127
2016-11-29,26.30952380952381,21.785714285714285
2016-11-30,29.325396825396826,19.404761904761905
2016-12-01,55.833333333333336,29.96031746031746
2016-12-02,53.45238095238095,31.46825396825397
2016-12-05,39.56349206349206,21.706349206349206
2016-12-06,31.984126984126984,37.1031746031746
2016-12-07,30.99206349206349,31.30952380952381
2016-12-08,24.325396825396826,28.849206349206348
2016-12-09,15.436507936507937,34.24603174603175
2016-12-12,9.484126984126984,29.88095238095238
2016-12-13,16.626984126984127,34.72222222222222
2016-12-14,20.158730158730158,43.214285714285715
2016-12-15,14.404761904761905,40.27777777777778
2016-12-16,3.5714285714285716,31.46825396825397
2016-12-19,3.2936507936507935,30.99206349206349
2016-12-20,3.253968253968254,34.32539682539682
2016-12-21,4.0476190476190474,36.54761904761905
2016-12-22,5.595238095238095,38.84920634920635
2016-12-23,3.888888888888889,37.42063492063492
2016-12-27,15.357142857142858,48.84920634920635
2016-12-28,35.43650793650794,56.86507936507937
2016-12-29,37.77777777777778,68.84920634920636
2016-12-30,50.55555555555556,86.94444444444444
2017-01-03,43.45238095238095,78.92857142857143
2017-01-04,31.785714285714285,71.30952380952381
2017-01-05,22.22222222222222,64.16666666666667
2017-01-06,9.801587301587302,62.42063492063492
2017-01-09,15.198412698412698,65.5952380952381
2017-01-10,13.571428571428571,67.42063492063492
2017-01-11,11.23015873015873,68.2936507936508
2017-01-12,9.96031746031746,76.94444444444444
2017-01-13,4.722222222222222,72.18253968253968
2017-01-17,10.555555555555555,76.54761904761905
2017-01-18,6.388888888888889,74.88095238095238
2017-01-19,13.134920634920634,80.91269841269842
2017-01-20,3.134920634920635,70.51587301587301
2017-01-23,6.388888888888889,75.91269841269842
2017-01-24,1.7857142857142858,64.64285714285714
2017-01-25,1.9841269841269842,59.88095238095238
2017-01-26,1.8253968253968254,60.67460317460318
2017-01-27,1.0,65.91269841269842
2017-01-30,8.88888888888889,74.56349206349206
2017-01-31,17.857142857142858,89.8015873015873
2017-02-01,3.7698412698412698,85.1984126984127
2017-02-02,7.896825396825397,88.05555555555556
2017-02-03,2.6587301587301586,83.92857142857143
2017-02-06,3.5317460317460316,87.97619047619048
2017-02-07,3.611111111111111,88.13492063492063
2017-02-08,3.134920634920635,87.42063492063492
2017-02-09,2.1825396825396823,85.9920634920635
2017-02-10,1.0,85.03968253968254
2017-02-13,1.0,82.10317460317461
2017-02-14,1.0,79.96031746031746
2017-02-15,1.0,84.32539682539682
2017-02-16,2.9761904761904763,87.57936507936508
2017-02-17,1.0,82.34126984126983
2017-02-21,4.126984126984127,89.32539682539682
2017-02-22,2.1031746031746033,87.26190476190476
2017-02-23,5.992063492063492,92.73809523809524
2017-02-24,3.2142857142857144,90.51587301587301
2017-02-27,5.119047619047619,92.26190476190476
2017-02-28,8.968253968253968,96.62698412698413
2017-03-01,3.7698412698412698,91.23015873015873
2017-03-02,3.0952380952380953,87.81746031746032
2017-03-03,1.0,81.30952380952381
2017-03-06,1.0,83.61111111111111
2017-03-07,1.0,81.54761904761905
2017-03-08,1.2301587301587302,83.2936507936508
2017-03-09,2.1031746031746033,85.75396825396825
2017-03-10,1.0,79.0079365079365
2017-03-13,1.0,71.07142857142857
2017-03-14,1.0,77.73809523809524
2017-03-15,1.0,70.03968253968254
2017-03-16,1.0,68.53174603174604
2017-03-17,1.0,63.611111111111114
2017-03-20,1.0,62.5
2017-03-21,2.8174603174603177,64.48412698412699
2017-03-22,4.523809523809524,63.76984126984127
2017-03-23,11.587301587301587,75.67460317460318
2017-03-24,4.007936507936508,63.45238095238095
2017-03-27,4.642857142857143,64.64285714285714
2017-03-28,1.2301587301587302,56.70634920634921
2017-03-29,1.0,59.08730158730159
2017-03-30,1.0,62.1031746031746
2017-03-31,1.0,64.24603174603175
2017-04-03,2.738095238095238,72.57936507936508
2017-04-04,1.626984126984127,70.9920634920635
2017-04-05,7.023809523809524,79.4047619047619
2017-04-06,4.801587301587301,74.88095238095238
2017-04-07,10.158730158730158,84.72222222222223
2017-04-10,20.07936507936508,89.64285714285714
2017-04-11,35.63492063492063,93.53174603174604
2017-04-12,43.214285714285715,95.67460317460318
2017-04-13,47.06349206349206,96.38888888888889
2017-04-17,37.93650793650794,91.54761904761905
2017-04-18,42.06349206349206,92.42063492063492
2017-04-19,42.1031746031746,98.21428571428571
2017-04-20,24.603174603174605,95.67460317460318
2017-04-21,31.38888888888889,97.26190476190476
2017-04-24,1.3888888888888888,70.27777777777777
2017-04-25,1.2301587301587302,65.43650793650794
2017-04-26,1.1507936507936507,66.86507936507937
2017-04-27,1.0,56.94444444444444
2017-04-28,1.0,60.75396825396825
2017-05-01,2.3015873015873014,64.4047619047619
2017-05-02,6.587301587301587,73.76984126984127
2017-05-03,1.4285714285714286,59.72222222222222
2017-05-04,2.2222222222222223,65.11904761904762
2017-05-05,3.1746031746031744,66.94444444444444
2017-05-08,1.2301587301587302,62.023809523809526
2017-05-09,5.436507936507937,71.94444444444444
2017-05-10,3.5317460317460316,72.34126984126983
2017-05-11,5.992063492063492,79.8015873015873
2017-05-12,3.134920634920635,80.35714285714286
2017-05-15,1.7857142857142858,80.83333333333333
2017-05-16,1.0,78.45238095238095
2017-05-17,54.682539682539684,69.16666666666667
2017-05-18,45.833333333333336,59.08730158730159
2017-05-19,15.793650793650794,40.51587301587302
2017-05-22,6.944444444444445,33.13492063492063
2017-05-23,6.190476190476191,34.08730158730159
2017-05-24,3.9682539682539684,30.753968253968253
2017-05-25,4.880952380952381,30.91269841269841
2017-05-26,3.134920634920635,28.53174603174603
2017-05-30,7.380952380952381,36.94444444444444
2017-05-31,7.817460317460317,37.1031746031746
2017-06-01,6.071428571428571,34.72222222222222
2017-06-02,7.619047619047619,32.34126984126984
2017-06-05,9.325396825396826,34.642857142857146
2017-06-06,18.373015873015873,42.023809523809526
2017-06-07,19.642857142857142,43.45238095238095
2017-06-08,14.166666666666666,38.53174603174603
2017-06-09,75.07936507936508,53.29365079365079
2017-06-12,62.65873015873016,37.976190476190474
2017-06-13,37.698412698412696,19.563492063492063
2017-06-14,51.46825396825397,26.38888888888889
2017-06-15,53.37301587301587,59.642857142857146
2017-06-16,54.12698412698413,62.976190476190474
2017-06-19,29.365079365079364,32.023809523809526
2017-06-20,41.82539682539682,39.08730158730159
2017-06-21,32.22222222222222,29.404761904761905
2017-06-22,32.93650793650794,30.595238095238095
2017-06-23,27.22222222222222,29.642857142857142
2017-06-26,44.56349206349206,38.69047619047619
2017-06-27,67.10317460317461,43.29365079365079
2017-06-28,52.38095238095238,22.103174603174605
2017-06-29,78.01587301587301,33.13492063492063
2017-06-30,71.82539682539682,31.626984126984127
2017-07-03,80.1984126984127,43.45238095238095
2017-07-05,67.22222222222223,23.53174603174603
2017-07-06,75.11904761904762,28.53174603174603
2017-07-07,60.992063492063494,15.03968253968254
2017-07-10,59.682539682539684,29.08730158730159
2017-07-11,56.19047619047619,27.738095238095237
2017-07-12,38.05555555555556,14.404761904761905
2017-07-13,29.88095238095238,12.5
2017-07-14,15.952380952380953,8.531746031746032
2017-07-17,28.253968253968253,12.341269841269842
2017-07-18,17.817460317460316,12.976190476190476
2017-07-19,18.452380952380953,14.722222222222221
2017-07-20,25.714285714285715,20.1984126984127
2017-07-21,25.753968253968253,20.27777777777778
2017-07-24,29.682539682539684,22.182539682539684
