date,drawdown_63,drawdown_252,below_ma200,negative_return_5,vxn_level,vxn_change_5,breadth_rel_20,breadth_rel_63,credit_stress_level,credit_widening,vix_term_stress
2016-10-18,0.0,0.0,0.0,5.793650793650798,3.80952380952381,3.4126984126984183,,,,,27.22222222222223
2016-10-19,0.0,0.0,0.0,6.111111111111114,0.0,0.0,,,,,0.0
2016-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
2016-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
2016-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
2016-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
2016-10-26,0.0,0.0,0.0,0.0,0.0,12.142857142857139,,,,,0.0
2016-10-27,1.349206349206355,0.0,0.0,16.269841269841265,14.603174603174608,62.77777777777777,,,,,32.77777777777777
2016-10-28,16.269841269841265,3.2997250229147568,0.0,53.412698412698404,32.53968253968253,84.36507936507937,,,,,58.17460317460316
2016-10-31,18.33333333333333,5.036630036630044,0.0,77.69841269841271,49.12698412698413,94.20634920634922,,,,,75.47619047619048
2016-11-01,31.666666666666657,21.225983531564495,0.0,82.77777777777777,64.12698412698413,94.84126984126985,,,,,88.8095238095238
2016-11-02,46.74603174603175,35.92321755027422,0.0,85.31746031746033,68.88888888888889,93.0952380952381,,,,,92.30158730158729
2016-11-03,57.53968253968253,51.68949771689498,0.0,89.60317460317461,76.11111111111111,93.4126984126984,,,,,98.0
2016-11-04,61.349206349206355,56.11313868613138,0.0,87.38095238095238,79.28571428571428,91.03174603174602,,,,,98.0
2016-11-07,28.968253968253975,18.231540565177752,0.0,43.412698412698404,54.36507936507937,18.174603174603178,,,,,96.11111111111111
2016-11-08,15.793650793650798,2.8233151183970904,0.0,0.0,60.39682539682539,0.0,,,,,96.5873015873016
2016-11-09,6.746031746031747,0.0,0.0,0.0,8.57142857142857,0.0,,,,,0.2380952380952408
2016-11-10,38.492063492063494,28.454545454545467,0.0,0.0,45.793650793650784,0.0,,,,,0.0
2016-11-11,36.428571428571416,25.794732061762033,0.0,0.0,44.04761904761904,0.0,,,,,0.0
2016-11-14,52.14285714285714,44.37386569872959,0.0,64.20634920634922,55.0,9.444444444444443,,,,,0.0
2016-11-15,32.30158730158729,21.940163191296463,0.0,49.60317460317461,21.825396825396822,0.0,,,,,0.0
2016-11-16,21.19047619047619,9.329710144927532,0.0,46.111111111111114,13.888888888888886,13.730158730158735,,,,,0.0
2016-11-17,5.952380952380949,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-18,14.047619047619051,0.9945750452079523,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-29,0.0,0.0,0.0,9.603174603174608,0.0,16.904761904761898,0.0,,,0.0,0.0
2016-11-30,13.253968253968253,0.0,0.0,61.507936507936506,0.0,43.25396825396825,0.0,,,0.0,0.0
2016-12-01,45.63492063492063,34.38061041292639,0.0,82.14285714285714,11.666666666666671,85.79365079365078,0.0,,,0.0,0.0
2016-12-02,44.206349206349216,32.46636771300447,0.0,84.68253968253967,6.904761904761898,82.46031746031747,0.0,,,0.0,0.0
2016-12-05,28.492063492063494,17.114695340501797,0.0,67.06349206349208,0.0,38.492063492063494,0.0,,,0.0,0.0
2016-12-06,24.04761904761905,11.817367949865712,0.0,68.96825396825398,0.0,22.14285714285714,0.0,,,0.0,0.0
