date,momentum_deceleration,macd_rollover,breadth_weakening_5,breadth_weakening_20,failed_breakout,volume_price_divergence,relative_strength_weakening,rsi_rollover
2016-07-25,73.72408293460926,17.182539682539684,,,20.59760956175299,,,21.547619047619047
2016-07-26,75.65737051792829,19.08730158730159,,,10.19108280254777,,,10.634920634920634
2016-07-27,78.06528662420382,24.404761904761905,,,10.222752585521082,,,10.674603174603174
2016-07-28,58.03500397772474,24.563492063492063,,,10.254372019077902,,,10.714285714285714
2016-07-29,56.95548489666137,27.023809523809526,,,10.28594122319301,,,10.753968253968255
2016-08-01,44.9166004765687,24.563492063492063,,,10.317460317460318,,,10.793650793650794
2016-08-02,65.03968253968254,30.11904761904762,,,44.08730158730159,,,58.53174603174603
2016-08-03,69.56349206349206,38.84920634920635,,,35.357142857142854,,,53.05555555555556
2016-08-04,72.42063492063492,46.23015873015873,,,30.515873015873016,,,49.72222222222222
2016-08-05,50.833333333333336,45.43650793650794,,,10.357142857142858,,,27.738095238095237
2016-08-08,63.05555555555556,50.91269841269841,,,26.150793650793652,,,37.023809523809526
2016-08-09,38.37301587301587,46.388888888888886,,,10.396825396825397,,,31.23015873015873
2016-08-10,50.833333333333336,47.817460317460316,,,30.833333333333332,,,46.54761904761905
2016-08-11,45.27777777777778,47.182539682539684,,,10.436507936507937,,,37.023809523809526
2016-08-12,67.65873015873017,55.51587301587302,,,10.476190476190476,,,34.72222222222222
2016-08-15,53.05555555555556,56.62698412698413,,,10.515873015873016,,,10.833333333333334
2016-08-16,70.75396825396825,65.5952380952381,,,40.91269841269841,,,58.84920634920635
2016-08-17,55.992063492063494,67.89682539682539,,,35.833333333333336,,,54.642857142857146
2016-08-18,65.83333333333333,71.7063492063492,,,33.76984126984127,,,53.45238095238095
2016-08-19,66.07142857142857,75.67460317460318,,,35.357142857142854,,,56.15079365079365
2016-08-22,73.53174603174604,81.15079365079364,,,33.92857142857143,,,54.404761904761905
2016-08-23,55.91269841269841,79.32539682539682,,,28.055555555555557,,,49.48412698412698
2016-08-24,68.2936507936508,83.13492063492063,,,48.214285714285715,,,81.30952380952381
2016-08-25,70.1984126984127,87.10317460317461,,,50.833333333333336,,,86.7063492063492
2016-08-26,65.51587301587301,88.37301587301587,,,48.214285714285715,,,82.65873015873017
2016-08-29,60.27777777777778,88.61111111111111,,,44.56349206349206,,,64.16666666666667
2016-08-30,74.16666666666667,90.5952380952381,,,50.91269841269841,,,77.34126984126983
2016-08-31,58.05555555555556,89.48412698412699,,,52.817460317460316,,,80.1984126984127
2016-09-01,47.8968253968254,85.75396825396825,,,48.214285714285715,,,72.73809523809524
2016-09-02,41.30952380952381,80.9920634920635,,,40.67460317460318,,,63.05555555555556
