date,QQQ_PS_Only,TQQQ_PS_Only,QQQ_PS_Insurance,QQQ_PS_GreedCall,QQQ_PS_Premium,QQQ_Full_35_20_45,QQQ_Full_50_15_35,QQQ_Full_60_10_30,TQQQ_PS_Insurance,TQQQ_PS_GreedCall,TQQQ_Full_35_20_45,QQQ_Static35,TQQQ_Static35,QQQ_BuyHold,TQQQ_BuyHold,BIL_like_Cash
2016-07-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-07-26,100.04050885595161,100.11753403872696,100.04050885595161,100.04050885595161,100.04050885595161,100.04050885595161,100.05755516836625,100.06891937664268,100.11753403872696,100.11753403872696,100.11753403872696,100.04050885595161,100.11753403872696,100.11437620974839,100.33444816053512,100.00073412698414
2016-07-27,100.28405033628486,100.8010663486182,100.28405033628486,100.28405033628486,100.28405033628486,100.28405033628486,100.4052330614013,100.48604124940942,100.8010663486182,100.8010663486182,100.8010663486182,100.28405033628486,100.8010663486182,100.80943163821925,102.29033487151263,100.00142857652669
2016-07-28,100.40703544797276,101.18554329521581,100.40703544797273,100.40703544797273,100.40703544797273,100.40703544797273,100.58083955952794,100.69679908126285,101.18554329521581,101.18554329521581,101.18554329521581,100.40703544797276,101.18554329521581,101.161358437445,103.40375089962322,100.0021230308918
2016-07-29,100.48374322842619,101.4178348584741,100.48374322842619,100.48374322842619,100.48374322842619,100.48374322842619,100.69041507567917,100.82834939020316,101.4178348584741,101.4178348584741,101.4178348584741,100.48374322842619,101.4178348584741,101.3813126869611,104.0811142627323,100.00257938978659
2016-08-01,100.67029694353766,101.9755275509371,100.67029694353766,100.67029694353766,100.67029694353766,100.67029694353766,100.95722022163984,101.14883812365285,101.9755275509371,101.9755275509371,101.9755275509371,100.67029694353766,101.9755275509371,101.91800105578037,105.715253376233,100.0031548014537
2016-08-02,100.40303323490498,101.1712306852625,100.40303323490501,100.40303323490501,100.40303323490501,100.40303323490501,100.57406060072138,100.68804946007104,101.1712306852625,101.1712306852625,101.1712306852625,100.40303323490498,101.1712306852625,101.14376209748369,103.33178104229286,100.00376990022333
2016-08-03,100.51959334146024,101.50820940460285,100.51959334146024,100.51959334146024,100.51959334146024,100.51959334146024,100.74059356204535,100.88799164598805,101.50820940460285,101.50820940460285,101.50820940460285,100.51959334146024,101.50820940460285,101.47809255674815,104.31395791880107,100.00438500277629
2016-08-04,100.6206283271452,101.82580220775164,100.6206283271452,100.6206283271452,100.6206283271452,100.6206283271452,100.88499816430665,101.06141460926719,101.82580220775164,101.82580220775164,101.82580220775164,100.6206283271452,101.82580220775164,101.76843216610942,105.2453325430761,100.00496042483284
2016-08-05,100.95890653203425,102.85688124425585,100.95890653203423,100.95890653203423,100.95890653203423,100.95890653203423,101.36930797554085,101.64350241185612,102.85688124425585,102.85688124425585,102.85688124425585,100.95890653203425,102.85688124425585,102.7450290339609,108.28923415604761,100.00545648118415
2016-08-08,100.91994836469256,102.74326646167604,100.91994836469256,100.91994836469256,100.91994836469256,100.91994836469256,101.31317723786646,101.57584636191537,102.74326646167604,102.74326646167604,102.74326646167604,100.91994836469256,102.74326646167604,102.63065282421253,107.94631895347362,100.00603190940596
2016-08-09,101.0021607438498,102.98207301363036,101.0021607438498,101.0021607438498,101.0021607438498,101.0021607438498,101.43077958918848,101.71719398734531,102.98207301363036,102.98207301363036,102.98207301363036,101.0021607438498,102.98207301363036,102.86820341368991,108.66178400575761,100.00672639573867
2016-08-10,100.91185956681879,102.7044367514689,100.91185956681879,100.91185956681879,100.91185956681879,100.91185956681879,101.30096309136466,101.56084917963568,102.70443675146892,102.70443675146892,102.70443675146892,100.91185956681879,102.7044367514689,102.6042583142706,107.82354684391011,100.00734151647642
2016-08-11,101.06366534587696,103.16916638805118,101.06366534587696,101.06366534587696,101.06366534587696,101.06366534587696,101.51841488910878,101.82234390450506,103.16916638805118,103.16916638805118,103.16916638805118,101.06366534587696,103.16916638805118,103.04416681330282,109.21637525930316,100.00791695554466
2016-08-12,101.08820472741,103.23673737937031,101.08820472741,101.08820472741,101.08820472741,101.08820472741,101.55337854576155,101.86430872633213,103.23673737937035,103.23673737937035,103.23673737937035,101.08820472741,103.23673737937031,103.11455217314796,109.41958426823588,100.00849239792393
2016-08-15,101.23955116487294,103.6915020086979,101.23955116487294,101.23955116487294,101.23955116487294,101.23955116487294,101.77031496369304,102.12530416242834,103.69150200869792,103.69150200869792,103.69150200869792,101.23955116487294,103.6915020086979,103.55446067218014,110.79547859955126,100.00910752952402
2016-08-16,101.04432422465892,103.11925191399037,101.0443242246589,101.0443242246589,101.0443242246589,101.0443242246589,101.48965429407247,101.78719473742821,103.11925191399041,103.11925191399041,103.11925191399041,101.04432422465892,103.11925191399037,102.98257962343828,109.0470344185259,100.0098020372152
2016-08-17,101.10812552293622,103.28915444513804,101.1081255229362,101.1081255229362,101.1081255229362,101.1081255229362,101.58096769369631,101.89698300694134,103.28915444513808,103.28915444513808,103.28915444513808,101.10812552293622,103.28915444513804,103.16734119303183,109.55929046187715,100.01033780401183
2016-08-18,101.11760952113636,103.3245173396605,101.11760952113636,101.11760952113636,101.11760952113636,101.11760952113636,101.59429457514504,101.91289157958379,103.32451733966057,103.32451733966057,103.32451733966057,101.11760952113636,103.3245173396605,103.19373570297377,109.66512848736296,100.01099263360457
2016-08-19,101.10898765272948,103.27609492601817,101.10898765272947,101.10898765272947,101.10898765272947,101.10898765272947,101.5816344700949,101.89751835406253,103.27609492601822,103.27609492601822,103.27609492601822,101.10898765272948,103.27609492601817,103.16734119303183,109.51695525168286,100.01164746748492
2016-08-22,101.13657925986124,103.31146684773142,101.13657925986121,101.13657925986121,101.13657925986121,101.13657925986121,101.62095025902882,101.94471057382594,103.3114668477315,103.3114668477315,103.3114668477315,101.13657925986124,103.31146684773142,103.24652472285763,109.62279327716864,100.01230230565288
2016-08-23,101.20032862958885,103.52692924611529,101.20032862958882,101.20032862958882,101.20032862958882,101.20032862958882,101.71218907075745,102.05442055960474,103.52692924611533,103.52692924611533,103.52692924611533,101.20032862958885,103.52692924611529,103.43128629245115,110.27475551416114,100.01291746068691
