date,risk_level,risk_acceleration,fragility,affordability
2016-07-25,0.0,14.173081530632532,44.810622068547346,81.3526443281963
2016-07-26,0.0,23.084834620120578,45.072238608129865,68.84473506223935
2016-07-27,0.0,31.212313733693254,48.654458770310015,55.52730470354561
2016-07-28,0.0,16.58646339355719,48.110987611895816,48.48843234546084
2016-07-29,0.0,0.35903250188964675,48.774922589936196,50.29641026546127
2016-08-01,0.0,0.0,47.274067479129386,49.8813976987783
2016-08-02,0.0,0.0,50.6018603291504,47.67243455902757
2016-08-03,0.0,0.0,53.74700656806871,43.54690146290624
2016-08-04,0.0,0.0,58.44385225205344,44.08068783068784
2016-08-05,0.0,0.0,56.7888802986436,48.406084656084666
2016-08-08,0.0,0.08503401360546514,56.77496747698473,51.30291005291006
2016-08-09,0.0,0.0,52.99989007672982,51.26322751322753
2016-08-10,0.0,0.0,53.98835529362651,48.80291005291006
2016-08-11,0.0,0.0,51.324414492310346,47.9298941798942
2016-08-12,0.0,2.7399848828420272,53.89873483399411,48.31349206349207
2016-08-15,0.0,5.725623582766443,52.96964703750141,49.7883597883598
2016-08-16,0.0,17.36583522297811,57.33270586313118,47.876984126984134
2016-08-17,0.0,16.439909297052186,58.33979791312372,45.046296296296305
2016-08-18,0.0,17.469765684051428,61.67264623611355,44.21957671957673
2016-08-19,0.0,3.344671201814061,61.60114856003301,47.70502645502646
2016-08-22,0.0,4.289493575207862,63.69925056593453,49.94708994708995
2016-08-23,0.0,0.0,63.0934603355893,49.72883597883598
2016-08-24,0.0,0.9542705971277399,63.651182280449916,44.775132275132286
2016-08-25,0.0,12.320483749055182,63.11945728456179,40.80687830687831
2016-08-26,0.0,42.365835222978085,63.831195017460026,38.055555555555564
2016-08-29,0.0,44.973544973544996,62.508089724397585,38.730158730158735
2016-08-30,0.0,44.746787603930485,62.8707797130022,39.15343915343916
2016-08-31,0.0,20.937263794406665,62.332463253973984,38.227513227513235
2016-09-01,0.0,0.0,61.27779225525691,36.83862433862435
2016-09-02,0.0,0.0,58.33314301786508,38.78306878306879
2016-09-06,0.0,0.0,54.13827273321959,41.60714285714287
2016-09-07,0.0,0.0,49.555564426582436,45.720899470899475
2016-09-08,0.0,0.0,47.815215108569795,45.47619047619048
2016-09-09,0.0,36.22893087501521,51.92541598755952,38.7962962962963
2016-09-12,0.0,68.74026874349595,57.07205612973772,42.8968253968254
2016-09-13,18.8222258714356,100.0,60.80599014449029,39.25925925925926
2016-09-14,15.774588447184595,100.0,61.26630299346918,40.88624338624339
2016-09-15,17.664233193972194,100.0,58.92231413678233,39.70238095238096
2016-09-16,0.0,14.454611772813166,52.61738944429335,52.34126984126985
2016-09-19,0.0,0.0,47.60626630264238,62.652116402116405
2016-09-20,0.0,0.0,43.69350756309524,62.142857142857146
2016-09-21,0.0,0.0,40.85571082773724,63.32671957671958
2016-09-22,0.0,0.0,38.795584827948176,72.59920634920636
2016-09-23,0.0,0.0,42.10706878094065,82.8505291005291
2016-09-26,0.0,0.0,47.26304059574932,78.77645502645504
