scenario,iv_multiplier,spread_multiplier,cagr,sharpe_excess_bil,max_drawdown,option_net_pnl
IVx0.90_Spreadx0.75,0.9,0.75,0.10478662866239596,0.7290527941602708,-0.24871601817355637,18554.458079803604
IVx0.90_Spreadx1.00,0.9,1.0,0.10459999349764226,0.7275407385031337,-0.24880789094658007,17037.734561316232
IVx0.90_Spreadx1.50,0.9,1.5,0.10415471788864195,0.7243996928092198,-0.24899256166499129,13407.032313101528
IVx1.00_Spreadx0.75,1.0,0.75,0.10516327849566531,0.7286288623112237,-0.2478355334329646,21923.866019284415
IVx1.00_Spreadx1.00,1.0,1.0,0.10484665233597878,0.7261263113151102,-0.24793685014503897,19106.807366655117
IVx1.00_Spreadx1.50,1.0,1.5,0.10442549565796644,0.7227608224436588,-0.2481401987968923,15691.52807039631
IVx1.10_Spreadx0.75,1.1,0.75,0.10557133667846541,0.731947171918994,-0.24696216585896658,24913.898021223107
IVx1.10_Spreadx1.00,1.1,1.0,0.10534846108561036,0.7301574832200177,-0.24707245968621105,23106.938862589708
IVx1.10_Spreadx1.50,1.1,1.5,0.10494062329007026,0.7267930802933611,-0.24728819543202774,19865.72755474327
