reference_nav,cagr,sharpe_excess_bil,max_drawdown,call_entries,csp_entries,insurance_entries,option_net_pnl_pct_initial
100000.0,0.10353418836204131,0.717928561642619,-0.24847733107440217,0,16,14,0.016828114353135956
250000.0,0.10486059665087222,0.7263719691711596,-0.24806958154003456,29,24,27,0.040756660375271016
500000.0,0.10483847408734381,0.7262858394934959,-0.2479368100091207,35,27,27,0.03819323507522159
1000000.0,0.10491931516607433,0.726410362521837,-0.2477949876171125,35,27,27,0.0383697351836171
