strategy,asset,initial_nav,ending_nav,covered_call_net_pnl,cash_secured_put_net_pnl,insurance_net_pnl,assigned_inventory_net_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,insurance_net_entry_debit,insurance_pnl_during_panic,call_intrinsic_cap_cost,covered_call_entry_groups,csp_entry_groups,insurance_entry_groups,call_assignments,csp_assignments,average_call_coverage,average_csp_collateral_weight,average_assigned_weight,proxy_iv_multiplier,proxy_spread_multiplier,insurance_structure
QQQ_Full_35_20_45,QQQ,500000.0,1354610.3771402817,-1887.6909221966898,26339.369984283825,-6703.234639479615,1358.362944047597,7390.167574566657,18677.575251774626,35470.423580404306,67344.1930615001,22519.63149049941,44824.5615710007,2706.532374260152,3330.9999999999945,35,27,27,0,2,0.01230880216306736,0.024327103117446437,0.0010867760466024068,1.0,1.0,put_spread
QQQ_Full_50_15_35,QQQ,500000.0,1662900.6341500632,-7357.598761214556,22877.00323846441,-9658.725391879429,-1705.8371986111288,11246.806362612784,35941.39095550926,30489.2121066064,106557.90177248686,35618.93921068246,70938.9625618044,6047.218970726464,9992.999999999984,35,28,27,0,2,0.013664470574340911,0.018309480518397675,0.000667621880269992,1.0,1.0,put_spread
QQQ_Full_60_10_30,QQQ,500000.0,1909770.4799320763,-9502.027989741784,15944.507302971117,-11866.007659527466,-1068.2656315476281,13949.255839141571,50135.86233767857,20874.156805093553,136488.1797652304,45646.459372943136,90841.72039228726,7704.2321947217815,13323.999999999978,35,26,26,0,2,0.01462671875321313,0.01147136568841342,0.0003768695883254042,1.0,1.0,put_spread
QQQ_PS_GreedCall,QQQ,500000.0,1323981.6290611818,-2141.103921749876,0.0,0.0,0.0,1096.6780299984785,19090.356391451343,0.0,0.0,0.0,0.0,0.0,3330.9999999999945,36,0,0,0,0,0.012534852895702173,0.0,0.0,1.0,1.0,put_spread
QQQ_PS_Insurance,QQQ,500000.0,1317012.7700684394,0.0,0.0,-6604.930055598017,0.0,4807.529633709649,0.0,0.0,65775.21383742605,21993.016932948052,43782.196904478,2419.856023985798,0.0,0,0,27,0,0,0.0,0.0,0.0,1.0,1.0,put_spread
QQQ_PS_Premium,QQQ,500000.0,1366534.5101173003,-2141.103921749876,29084.11603325228,0.0,686.9132583333239,2503.2545311234326,19090.356391451343,37803.10953390977,0.0,0.0,0.0,0.0,3330.9999999999945,36,30,0,0,1,0.01234449836694471,0.024249932605293307,0.0009646050624508841,1.0,1.0,put_spread
TQQQ_Full_35_20_45,TQQQ,500000.0,3997107.820938875,-45313.93896577406,262394.8020591537,-35386.69888784468,3606.6397904841524,92130.9019985118,161195.3721595725,349487.2892264462,371026.4566364419,144536.84458501593,226489.61205142594,13556.750117739937,52580.000000000015,34,24,26,0,2,0.01587266272903471,0.031288448860163784,0.00123226905772881,1.0,1.0,put_spread
TQQQ_PS_GreedCall,TQQQ,500000.0,3653488.143635294,-42719.994205868425,0.0,0.0,0.0,16848.449357032103,155733.2264499219,0.0,0.0,0.0,0.0,0.0,47800.000000000015,35,0,0,0,0,0.015944210027634378,0.0,0.0,1.0,1.0,put_spread
TQQQ_PS_Insurance,TQQQ,500000.0,3639381.739817065,0.0,0.0,-32835.085264612244,0.0,47171.17329484856,0.0,0.0,348609.4836562067,135666.79967427257,212942.68398193413,13614.192121513946,0.0,0,0,26,0,0,0.0,0.0,0.0,1.0,1.0,put_spread
