date,P,P_coverage,P_price,P_price_coverage,S,S_coverage,G,G_coverage,E,E_coverage,R_proxy,R_proxy_coverage,I,I_need,I_affordability,option_backtest_allowed,signal_close,ma20,adx14,realized_vol_20,range_condition,no_new_low_5
2016-07-25,3.851095993953143,0.7,0.0,0.35,77.5586266854815,0.65,66.28618636582884,0.8500000000000001,30.493579203693017,0.6000000000000001,18.647355671803695,0.7,30.2486977367235,13.214048872899228,81.3526443281963,False,4665.93,4514.919,,14.620649206877868,False,100.0
2016-07-26,5.468631897203331,0.7,0.0,0.35,73.87405150669305,0.65,66.47797758799264,0.8500000000000001,30.80174595488802,0.6000000000000001,31.155264937760645,0.7,29.166107346306447,15.939898107662147,68.84473506223935,False,4672.11,4538.472,100.0,11.630539642787227,False,100.0
2016-07-27,6.50415721844294,0.7,0.0,0.35,70.31712228119206,0.65,67.52307640547485,0.8500000000000001,36.07538034686679,0.6000000000000001,44.47269529645439,0.7,28.202765581513887,19.09458587416998,55.52730470354561,False,4702.88,4559.0925,100.0,10.018624992204758,False,100.0
2016-07-28,4.542705971277406,0.7,0.0,0.35,70.54101072924267,0.65,70.03188776730246,0.8500000000000001,33.497054174958045,0.6000000000000001,51.51156765453916,0.7,23.07071049169995,14.598136540446319,48.48843234546084,False,4721.41,4576.926,100.0,8.825111794314473,False,100.0
2016-07-29,1.9614512471655383,0.7,0.0,0.35,73.57160218537092,0.65,73.79587260298322,0.8500000000000001,32.09428924790484,0.6000000000000001,49.70358973453873,0.7,19.971123267780918,9.862694268554133,50.29641026546127,False,4730.23,4592.5525,100.0,8.29912813134402,False,100.0
2016-08-01,0.0,0.7,0.0,0.35,76.91407481483638,0.65,75.5279296412806,0.8500000000000001,28.43815937102858,0.6000000000000001,50.1186023012217,0.7,19.561459546563984,9.454813495825878,49.8813976987783,False,4756.04,4608.4825,100.0,8.322797664318754,False,100.0
2016-08-02,0.0,0.7,0.0,0.35,74.06223865417668,0.65,74.35430512029757,0.8500000000000001,34.766897135052275,0.6000000000000001,52.32756544097243,0.7,19.508387689129453,10.12037206583008,47.67243455902757,False,4719.21,4623.9055,97.47321967586878,8.60251829479042,False,100.0
2016-08-03,0.4421768707483044,0.7,0.0,0.35,68.79934879934878,0.65,72.6965618433892,0.8500000000000001,41.11396971785505,0.6000000000000001,56.45309853709376,0.7,18.948776350936868,10.749401313613744,43.54690146290624,False,4734.33,4638.387000000001,95.12692366060406,8.451320979197586,False,100.0
2016-08-04,0.45918367346939265,0.7,0.03401360544217658,0.35,62.8174603174603,0.65,72.15791105341405,0.8500000000000001,49.30114638447969,0.6000000000000001,55.91931216931216,0.7,19.786749795479977,11.688770450410688,44.08068783068784,False,4743.81,4652.5985,93.16289788002103,8.4611556886982,False,100.0
2016-08-05,0.45918367346939265,0.7,0.03401360544217658,0.35,64.512617012617,0.65,75.37828540269369,0.8500000000000001,44.3959435626102,0.6000000000000001,51.593915343915334,0.7,20.61985320881771,11.357776059728721,48.406084656084666,False,4791.21,4665.741,91.82798957775958,7.587187471539708,False,100.0
2016-08-08,0.01700680272109303,0.7,0.03401360544217658,0.35,66.05311355311353,0.65,77.12260387764704,0.8500000000000001,43.209876543209845,0.6000000000000001,48.69708994708994,0.7,21.361105287836452,11.380503699478586,51.30291005291006,False,4784.74,4677.242499999999,90.58843186851679,7.639953105721786,False,100.0
2016-08-09,0.0,0.7,0.0,0.35,69.35083435083435,0.65,77.46334953044892,0.8500000000000001,36.69091710758375,0.6000000000000001,48.73677248677247,0.7,20.765790389816356,10.599978015345965,51.26322751322753,False,4795.75,4688.1494999999995,89.5751762494568,7.580309841339049,False,100.0
2016-08-10,0.0,0.7,0.0,0.35,66.60256410256409,0.65,75.44046495364303,0.8500000000000001,39.6869488536155,0.6000000000000001,51.19708994708994,0.7,20.29898080727149,10.797671058725303,48.80291005291006,False,4783.39,4699.030499999999,87.81278466670145,7.579515517724062,False,100.0
2016-08-11,0.0,0.7,0.0,0.35,65.82214082214081,0.65,74.82889337363305,0.8500000000000001,35.65476190476188,0.6000000000000001,52.0701058201058,0.7,19.6811357188201,10.26488289846207,47.9298941798942,False,4803.31,4709.3715,86.33647952460898,7.4359861327060335,False,100.0
2016-08-12,1.007180650037798,0.7,0.35903250188964503,0.35,61.730769230769205,0.65,75.08413867228691,0.8500000000000001,39.77513227513225,0.6000000000000001,51.68650793650793,0.7,20.77967983961159,11.60174243165143,48.31349206349207,False,4807.08,4720.234,84.96562474980882,7.331609110712467,False,100.0
2016-08-15,1.1621315192743815,0.7,0.35903250188964503,0.35,61.89560439560437,0.65,76.16419695883293,0.8500000000000001,37.506613756613724,0.6000000000000001,50.2116402116402,0.7,21.680802308837613,12.311616482330216,49.7883597883598,False,4827.12,4730.606,84.01799914043058,7.200805827658232,False,100.0
2016-08-16,3.473167044595622,0.7,1.2244897959183678,0.35,57.61294261294259,0.65,74.5354683615317,0.8500000000000001,45.864197530864175,0.6000000000000001,52.123015873015866,0.7,24.476464836385787,16.67629173951967,47.876984126984134,False,4797.19,4740.3015,82.49871551925528,7.5355880729963065,False,100.0
2016-08-17,3.287981859410437,0.7,0.975056689342404,0.35,55.878103378103354,0.65,72.39380695212151,0.8500000000000001,48.97045855379185,0.6000000000000001,54.953703703703695,0.7,23.711523352879375,16.5999323717404,45.046296296296305,False,4805.45,4747.714,79.83963020058566,6.619715973874772,False,100.0
2016-08-18,3.4939531368102856,0.7,1.6969009826152692,0.35,53.35673585673584,0.65,71.05992246859078,0.8500000000000001,55.414462081128725,0.6000000000000001,55.78042328042327,0.7,24.23648839422279,17.57545895243814,44.21957671957673,False,4808.68,4755.797,77.48742600317969,6.48055906555973,False,100.0
2016-08-19,1.6761148904006102,0.7,1.8178382464096756,0.35,54.9165649165649,0.65,71.44004071225187,0.8500000000000001,55.04188712522043,0.6000000000000001,52.29497354497354,0.7,21.918979918169732,13.323631072550821,47.70502645502646,False,4806.14,4762.800499999999,74.92638166010167,6.463290912885721,False,100.0
