date,return_20,return_63,above_ma20,low_vxn,term_contango,above_ma200,return_252,breadth_concentration_20,breadth_concentration_63,rsi,up_day_share
2016-07-25,98.04625199362042,50.990916597853015,91.19521912350598,67.26190476190476,97.97619047619048,43.2093023255814,13.356164383561644,,,83.92857142857143,43.53174603174603
2016-07-26,99.0,55.48679867986799,86.02707006369427,63.92857142857143,96.30952380952381,45.49256505576208,15.20039100684262,,,85.27777777777777,43.53174603174603
2016-07-27,98.60668789808918,66.9002473206925,88.74303898170247,73.37301587301587,96.54761904761905,50.74280408542247,14.892578125,,,90.75396825396825,65.51587301587301
2016-07-28,97.09626093874304,77.38879736408566,88.8314785373609,77.38095238095238,96.94444444444444,52.829313543599255,14.487804878048781,,,93.92857142857143,65.51587301587301
2016-07-29,94.47535771065183,81.85185185185185,86.53693407466243,89.4047619047619,98.92857142857143,54.44856348470806,14.181286549707602,,,94.64285714285714,83.88888888888889
2016-08-01,94.71803018268467,79.81085526315789,89.4047619047619,81.82539682539682,97.57936507936508,57.638888888888886,16.309639727361247,,,97.34126984126983,83.84920634920636
2016-08-02,94.24603174603175,80.40262941659819,72.97619047619048,68.92857142857143,92.5,51.85013876040703,14.445525291828794,,,83.45238095238095,83.80952380952381
2016-08-03,92.42063492063492,86.08374384236453,73.05555555555556,72.06349206349206,95.91269841269842,54.20517560073937,16.472303206997086,,,86.78571428571429,83.76984126984127
2016-08-04,91.78571428571429,87.57178014766201,71.62698412698413,82.81746031746032,97.89682539682539,55.26315789473684,14.902912621359222,,,88.61111111111111,94.96031746031746
2016-08-05,88.53174603174604,89.95901639344262,82.57936507936508,91.78571428571429,99.0,62.03874538745387,20.32007759456838,,,95.9920634920635,94.92063492063492
2016-08-08,83.61111111111111,88.001638001638,76.78571428571429,88.4920634920635,99.0,60.96774193548387,20.49418604651163,,,93.92857142857143,94.88095238095238
2016-08-09,81.54761904761905,81.46481178396073,76.62698412698413,86.78571428571429,98.61111111111111,62.10865561694291,18.15101645692159,,,95.27777777777777,94.84126984126983
2016-08-10,81.54761904761905,85.32297628781684,69.08730158730158,81.23015873015873,98.13492063492063,60.30358785648574,21.131528046421664,,,89.8015873015873,83.41269841269842
2016-08-11,79.88095238095238,89.66503267973856,71.78571428571429,84.92063492063492,98.76984126984127,62.91360294117647,21.40096618357488,,,93.84920634920636,83.37301587301587
2016-08-12,81.15079365079364,92.04081632653062,69.72222222222223,89.24603174603175,99.0,63.95775941230487,21.766409266409266,,,94.16666666666667,83.33333333333333
2016-08-15,79.64285714285714,87.72430668841761,72.26190476190476,89.04761904761905,98.61111111111111,67.4770642201835,22.034715525554486,,,97.10317460317461,83.2936507936508
2016-08-16,77.26190476190476,91.23879380603097,57.34126984126984,75.35714285714286,97.42063492063492,61.27406049495875,18.545279383429673,,,82.26190476190476,83.25396825396825
2016-08-17,66.46825396825396,90.26872964169381,57.73809523809524,77.73809523809524,97.73809523809524,62.5,20.356111645813282,,,84.72222222222223,83.21428571428571
2016-08-18,69.32539682539682,93.28722538649308,55.198412698412696,87.10317460317461,99.0,63.357731015553526,22.259615384615383,,,85.67460317460318,83.17460317460318
2016-08-19,64.48412698412699,87.35772357723577,50.51587301587302,94.76190476190476,99.0,62.38574040219378,28.67435158501441,,,83.69047619047619,64.32539682539682
2016-08-22,65.11904761904762,88.50528025995126,48.69047619047619,89.04761904761905,96.7063492063492,62.96803652968037,41.506717850287906,,,84.64285714285714,83.13492063492063
2016-08-23,66.07142857142857,77.96266233766234,50.11904761904762,85.95238095238095,94.0079365079365,65.28284671532846,57.4784276126558,,,87.73809523809524,83.0952380952381
2016-08-24,52.26190476190476,68.41038118410381,35.198412698412696,69.72222222222223,80.43650793650794,59.02461257976299,56.752873563218394,,,62.65873015873016,83.05555555555556
2016-08-25,45.43650793650794,64.87034035656401,31.30952380952381,68.33333333333333,77.73809523809524,57.513661202185794,36.698564593301434,,,55.992063492063494,64.04761904761905
2016-08-26,45.27777777777778,62.22672064777328,33.37301587301587,71.26984126984127,80.51587301587301,58.9171974522293,30.449330783938816,,,60.75396825396825,64.04761904761905
2016-08-29,40.75396825396825,61.69093851132686,35.43650793650794,73.69047619047619,92.18253968253968,59.68181818181818,30.515759312320917,,,65.43650793650794,64.0079365079365
