date,return_5,return_10,above_ma10,above_ma20,vxn_cooling,vxn_off_high,breadth_rel_5,breadth_rel_20,credit_narrowing,no_new_low_5
2016-07-25,61.388888888888886,72.89682539682539,66.46825396825396,91.19521912350598,29.404761904761905,95.33864541832669,,,,100.0
2016-07-26,71.62698412698413,69.24603174603175,64.16666666666667,86.02707006369427,22.896825396825395,66.12261146496816,,,,100.0
2016-07-27,61.07142857142857,79.88095238095238,74.48412698412699,88.74303898170247,29.404761904761905,58.591885441527445,,,,100.0
2016-07-28,73.53174603174604,76.78571428571429,76.94444444444444,88.8314785373609,51.30952380952381,55.68362480127186,,,,100.0
2016-07-29,69.48412698412699,80.83333333333333,74.72222222222223,86.53693407466243,61.07142857142857,69.3010325655282,,,,100.0
2016-08-01,78.76984126984127,79.24603174603175,80.27777777777777,89.4047619047619,70.03968253968254,61.23015873015873,,,,100.0
2016-08-02,61.54761904761905,73.92857142857143,52.73809523809524,72.97619047619048,57.65873015873016,38.611111111111114,,,,100.0
2016-08-03,54.007936507936506,62.73809523809524,56.94444444444444,73.05555555555556,45.357142857142854,39.404761904761905,,,,100.0
2016-08-04,49.642857142857146,69.08730158730158,56.388888888888886,71.62698412698413,55.11904761904762,30.03968253968254,,,,100.0
2016-08-05,67.57936507936508,76.07142857142857,76.62698412698413,82.57936507936508,52.26190476190476,43.76984126984127,,,,100.0
2016-08-08,52.34126984126984,74.24603174603175,66.7063492063492,76.78571428571429,57.5,37.34126984126984,,,,100.0
2016-08-09,73.84920634920636,75.5952380952381,65.91269841269842,76.62698412698413,72.81746031746032,35.03968253968254,,,,100.0
2016-08-10,61.94444444444444,63.37301587301587,53.05555555555556,69.08730158730158,60.43650793650794,28.134920634920636,,,,100.0
2016-08-11,67.02380952380952,63.84920634920635,60.51587301587302,71.78571428571429,50.992063492063494,32.73809523809524,,,,100.0
2016-08-12,46.23015873015873,61.54761904761905,57.976190476190474,69.72222222222223,41.30952380952381,39.56349206349206,,,,100.0
2016-08-15,58.53174603174603,59.24603174603175,65.91269841269842,72.26190476190476,48.37301587301587,38.92857142857143,,,,100.0
2016-08-16,40.91269841269841,62.182539682539684,43.29365079365079,57.34126984126984,30.27777777777778,21.46825396825397,,,,100.0
2016-08-17,48.84920634920635,59.166666666666664,44.007936507936506,57.73809523809524,41.94444444444444,24.325396825396826,,,,100.0
2016-08-18,42.42063492063492,57.023809523809526,41.86507936507937,55.198412698412696,51.23015873015873,36.07142857142857,,,,100.0
2016-08-19,39.642857142857146,42.023809523809526,39.56349206349206,50.51587301587302,60.27777777777778,51.23015873015873,,,,100.0
2016-08-22,32.57936507936508,44.642857142857146,39.56349206349206,48.69047619047619,46.46825396825397,39.48412698412698,,,,100.0
2016-08-23,48.37301587301587,44.24603174603175,44.48412698412698,50.11904761904762,62.976190476190474,25.11904761904762,,,,100.0
2016-08-24,30.91269841269841,38.05555555555556,26.46825396825397,35.198412698412696,36.07142857142857,10.595238095238095,,,,0.0
2016-08-25,27.023809523809526,29.8015873015873,25.1984126984127,31.30952380952381,23.214285714285715,9.087301587301587,,,,0.0
2016-08-26,30.595238095238095,31.30952380952381,28.76984126984127,33.37301587301587,14.880952380952381,12.182539682539682,,,,100.0
2016-08-29,33.214285714285715,28.134920634920636,33.76984126984127,35.43650793650794,25.833333333333332,13.531746031746032,,,,100.0
2016-08-30,25.1984126984127,32.1031746031746,27.738095238095237,29.72222222222222,27.57936507936508,12.261904761904763,,,,100.0
2016-08-31,35.11904761904762,28.373015873015873,27.023809523809526,27.738095238095237,44.32539682539682,8.69047619047619,,,,0.0
2016-09-01,43.76984126984127,30.99206349206349,34.08730158730159,30.595238095238095,45.357142857142854,4.246031746031746,,,,100.0
2016-09-02,46.46825396825397,35.75396825396825,43.45238095238095,35.992063492063494,65.75396825396825,24.00793650793651,,,,100.0
2016-09-06,57.65873015873016,44.404761904761905,60.357142857142854,45.833333333333336,62.42063492063492,24.047619047619047,,,,100.0
2016-09-07,65.91269841269842,41.46825396825397,60.992063492063494,46.15079365079365,73.76984126984127,32.023809523809526,,,,100.0
2016-09-08,54.88095238095238,44.32539682539682,43.05555555555556,36.07142857142857,66.15079365079364,20.634920634920636,,,,100.0
2016-09-09,12.182539682539682,17.42063492063492,7.103174603174603,10.198412698412698,10.119047619047619,4.285714285714286,,,,0.0
2016-09-12,26.626984126984127,32.976190476190474,28.214285714285715,26.150793650793652,26.46825396825397,48.69047619047619,,,,100.0
2016-09-13,11.626984126984127,21.46825396825397,17.738095238095237,17.5,4.642857142857143,8.61111111111111,,,,100.0
2016-09-14,15.753968253968255,29.484126984126984,25.595238095238095,23.69047619047619,2.3412698412698414,4.325396825396825,,,,100.0
2016-09-15,46.54761904761905,53.13492063492063,62.73809523809524,47.34126984126984,14.722222222222221,34.642857142857146,,,,100.0
2016-09-16,89.72222222222223,48.92857142857143,59.166666666666664,46.46825396825397,91.94444444444444,57.26190476190476,,,,100.0
2016-09-19,54.24603174603175,37.57936507936508,45.992063492063494,38.69047619047619,30.1984126984127,39.96031746031746,,,,100.0
2016-09-20,77.26190476190476,31.38888888888889,53.214285714285715,41.54761904761905,72.89682539682539,31.785714285714285,,,,100.0
2016-09-21,84.32539682539682,45.03968253968254,79.64285714285714,61.46825396825397,94.88095238095238,60.198412698412696,,,,100.0
2016-09-22,71.94444444444444,65.5952380952381,90.35714285714286,73.69047619047619,93.37301587301587,77.73809523809524,,,,100.0
2016-09-23,58.611111111111114,87.42063492063492,68.69047619047619,59.72222222222222,72.42063492063492,73.69047619047619,,,,100.0
2016-09-26,48.53174603174603,54.642857142857146,39.642857142857146,41.30952380952381,39.88095238095238,33.76984126984127,,,,100.0
2016-09-27,68.05555555555556,81.15079365079364,60.833333333333336,60.595238095238095,75.9920634920635,57.817460317460316,,,,100.0
2016-09-28,48.45238095238095,77.34126984126983,57.8968253968254,62.182539682539684,44.404761904761905,59.166666666666664,,,,100.0
2016-09-29,21.944444444444443,44.08730158730159,35.992063492063494,44.24603174603175,7.658730158730159,37.42063492063492,,,,100.0
2016-09-30,46.46825396825397,56.15079365079365,53.29365079365079,58.92857142857143,19.325396825396826,51.388888888888886,,,,100.0
2016-10-03,62.42063492063492,59.56349206349206,44.48412698412698,53.611111111111114,58.53174603174603,44.24603174603175,,,,100.0
2016-10-04,36.70634920634921,54.96031746031746,36.70634920634921,49.56349206349206,24.404761904761905,36.86507936507937,,,,100.0
2016-10-05,41.30952380952381,45.198412698412696,45.75396825396825,56.94444444444444,29.08730158730159,44.20634920634921,,,,100.0
2016-10-06,55.91269841269841,33.45238095238095,44.88095238095238,53.45238095238095,57.57936507936508,46.54761904761905,,,,100.0
2016-10-07,35.11904761904762,39.642857142857146,38.37301587301587,44.96031746031746,41.785714285714285,47.42063492063492,,,,100.0
2016-10-10,51.07142857142857,61.94444444444444,51.23015873015873,55.27777777777778,54.007936507936506,50.43650793650794,,,,100.0
2016-10-11,25.436507936507937,25.753968253968253,20.357142857142858,26.706349206349206,31.150793650793652,23.849206349206348,,,,0.0
2016-10-12,20.753968253968253,24.08730158730159,21.547619047619047,24.96031746031746,22.658730158730158,4.166666666666667,,,,0.0
2016-10-13,18.214285714285715,27.976190476190474,17.896825396825395,20.91269841269841,15.753968253968255,4.2063492063492065,,,,0.0
2016-10-14,21.30952380952381,21.38888888888889,21.38888888888889,23.055555555555557,17.976190476190474,11.944444444444445,,,,100.0
2016-10-17,13.055555555555555,20.91269841269841,19.642857142857142,19.642857142857142,14.166666666666666,9.404761904761905,,,,0.0
2016-10-18,47.1031746031746,32.976190476190474,37.42063492063492,31.071428571428573,48.29365079365079,15.833333333333334,,,,100.0
2016-10-19,46.94444444444444,26.944444444444443,37.8968253968254,30.357142857142858,63.611111111111114,24.642857142857142,,,,100.0
2016-10-20,53.37301587301587,26.944444444444443,37.976190476190474,30.03968253968254,83.92857142857143,37.8968253968254,,,,100.0
2016-10-21,60.27777777777778,35.43650793650794,49.96031746031746,36.86507936507937,84.4047619047619,43.84920634920635,,,,100.0
2016-10-24,85.75396825396825,43.53174603174603,81.94444444444444,59.08730158730159,91.46825396825396,51.70634920634921,,,,100.0
2016-10-25,63.76984126984127,60.03968253968254,70.03968253968254,49.72222222222222,69.24603174603175,33.29365079365079,,,,100.0
2016-10-26,50.357142857142854,51.86507936507937,48.13492063492063,37.8968253968254,43.92857142857143,22.341269841269842,,,,100.0
2016-10-27,41.86507936507937,49.32539682539682,32.57936507936508,30.03968253968254,18.61111111111111,12.738095238095237,5.555555555555555,,,100.0
2016-10-28,23.293650793650794,37.73809523809524,21.46825396825397,22.658730158730158,7.817460317460317,4.246031746031746,32.03125,,,0.0
2016-10-31,11.15079365079365,40.27777777777778,19.72222222222222,22.42063492063492,2.8968253968253967,4.285714285714286,57.69230769230769,,,0.0
2016-11-01,8.61111111111111,20.674603174603174,13.055555555555555,15.198412698412698,2.5793650793650795,4.325396825396825,70.45454545454545,,,0.0
2016-11-02,7.341269841269841,14.087301587301587,7.341269841269841,10.833333333333334,3.4523809523809526,4.365079365079365,41.04477611940298,,,0.0
2016-11-03,5.198412698412699,8.452380952380953,3.611111111111111,6.785714285714286,3.2936507936507935,4.404761904761905,90.44117647058823,,,0.0
2016-11-04,6.309523809523809,5.833333333333333,3.611111111111111,6.23015873015873,4.484126984126984,4.444444444444445,74.6376811594203,,,0.0
2016-11-07,28.293650793650794,11.38888888888889,34.007936507936506,25.03968253968254,40.91269841269841,49.24603174603175,52.142857142857146,,,100.0
2016-11-08,58.13492063492063,18.61111111111111,57.817460317460316,35.198412698412696,54.32539682539682,42.182539682539684,55.63380281690141,,,100.0
2016-11-09,82.18253968253968,28.69047619047619,73.21428571428571,41.94444444444444,96.38888888888889,79.32539682539682,82.63888888888889,,,100.0
2016-11-10,72.42063492063492,18.134920634920636,31.38888888888889,19.08730158730159,90.91269841269842,58.29365079365079,99.0,,,100.0
2016-11-11,81.23015873015873,24.96031746031746,36.86507936507937,20.674603174603174,94.88095238095238,59.96031746031746,99.0,,,100.0
2016-11-14,17.896825396825395,16.30952380952381,20.595238095238095,12.182539682539682,45.27777777777778,48.76984126984127,99.0,,,0.0
2016-11-15,25.1984126984127,38.45238095238095,50.03968253968254,26.785714285714285,87.57936507936508,74.8015873015873,99.0,,,100.0
2016-11-16,26.944444444444443,59.642857142857146,63.92857142857143,36.54761904761905,43.13492063492063,77.73809523809524,96.75324675324676,,,100.0
2016-11-17,76.7063492063492,83.13492063492063,75.67460317460318,49.56349206349206,93.05555555555556,88.61111111111111,94.23076923076923,96.03174603174604,53.17460317460318,100.0
2016-11-18,66.86507936507937,83.2936507936508,54.642857142857146,42.57936507936508,95.35714285714286,92.10317460317461,89.24050632911393,96.09375,69.53125,100.0
2016-11-21,94.0079365079365,66.15079365079364,79.32539682539682,66.78571428571429,98.84920634920636,95.5952380952381,21.875,96.15384615384616,82.3076923076923,100.0
2016-11-22,85.1984126984127,59.96031746031746,82.65873015873017,72.34126984126983,95.91269841269842,96.46825396825396,35.18518518518518,99.0,94.6969696969697,100.0
2016-11-23,68.69047619047619,47.5,72.02380952380952,64.64285714285714,94.08730158730158,96.54761904761905,82.3170731707317,99.0,96.26865671641791,100.0
2016-11-25,59.72222222222222,76.23015873015873,73.92857142857143,70.75396825396825,79.64285714285714,95.91269841269842,80.12048192771084,99.0,96.32352941176471,100.0
2016-11-28,62.5,71.62698412698413,59.007936507936506,63.92857142857143,55.27777777777778,93.92857142857143,55.357142857142854,93.47826086956522,96.3768115942029,100.0
2016-11-29,45.198412698412696,87.18253968253968,58.45238095238095,69.48412698412699,41.54761904761905,94.64285714285714,42.94117647058823,89.28571428571429,96.42857142857143,100.0
2016-11-30,19.246031746031747,53.214285714285715,23.61111111111111,41.15079365079365,28.373015873015873,93.61111111111111,55.23255813953488,93.66197183098592,99.0,0.0
2016-12-01,8.928571428571429,23.055555555555557,6.944444444444445,17.57936507936508,7.103174603174603,78.45238095238095,44.252873563218394,97.91666666666667,99.0,0.0
2016-12-02,7.658730158730159,17.738095238095237,9.246031746031745,18.055555555555557,8.76984126984127,80.35714285714286,42.61363636363637,92.46575342465754,99.0,100.0
2016-12-05,16.46825396825397,29.325396825396826,18.928571428571427,27.103174603174605,30.753968253968253,69.08730158730158,82.58426966292134,93.91891891891892,99.0,100.0
2016-12-06,15.515873015873016,20.753968253968253,24.563492063492063,30.1984126984127,38.92857142857143,75.5952380952381,93.88888888888889,98.0,94.0,100.0
2016-12-07,58.76984126984127,32.34126984126984,59.24603174603175,53.611111111111114,44.32539682539682,71.78571428571429,89.56043956043956,99.0,94.07894736842105,100.0
2016-12-08,88.61111111111111,40.357142857142854,64.0079365079365,56.23015873015873,89.16666666666667,76.23015873015873,91.84782608695652,99.0,91.55844155844156,100.0
2016-12-09,94.08730158730158,46.23015873015873,82.34126984126983,69.0079365079365,92.89682539682539,82.65873015873017,76.88172043010752,82.6923076923077,98.07692307692308,100.0
2016-12-12,81.86507936507937,44.24603174603175,70.67460317460318,56.86507936507937,86.62698412698413,86.46825396825396,20.74468085106383,70.25316455696202,99.0,100.0
2016-12-13,92.5,58.13492063492063,93.05555555555556,75.91269841269842,68.05555555555556,62.1031746031746,2.6315789473684212,19.375,91.875,100.0
2016-12-14,71.46825396825396,72.73809523809524,84.64285714285714,68.69047619047619,61.785714285714285,53.53174603174603,1.5625,11.728395061728396,87.03703703703704,100.0
2016-12-15,73.37301587301587,91.30952380952381,81.30952380952381,70.5952380952381,60.833333333333336,57.817460317460316,1.0,22.5609756097561,88.41463414634147,100.0
2016-12-16,47.1031746031746,87.65873015873017,60.91269841269841,60.51587301587302,71.94444444444444,72.26190476190476,7.653061224489796,50.0,87.34939759036145,100.0
2016-12-19,67.73809523809524,84.56349206349206,64.0079365079365,66.7063492063492,65.83333333333333,74.48412698412699,22.727272727272727,43.45238095238095,82.73809523809524,100.0
2016-12-20,46.388888888888886,86.07142857142857,64.8015873015873,72.10317460317461,76.30952380952381,74.72222222222223,39.5,34.705882352941174,77.05882352941177,100.0
2016-12-21,50.91269841269841,69.24603174603175,54.96031746031746,68.84920634920636,76.30952380952381,71.78571428571429,69.8019801980198,29.651162790697676,70.34883720930233,100.0
2016-12-22,39.642857142857146,61.70634920634921,42.65873015873016,60.51587301587302,65.9920634920635,69.88095238095238,52.450980392156865,7.471264367816092,71.83908045977012,100.0
2016-12-23,50.198412698412696,52.42063492063492,43.69047619047619,61.388888888888886,45.595238095238095,72.34126984126983,24.75728155339806,9.659090909090908,68.75,100.0
2016-12-27,53.05555555555556,67.26190476190476,53.214285714285715,70.35714285714286,23.134920634920636,56.94444444444444,37.98076923076923,27.528089887640448,76.96629213483146,100.0
2016-12-28,27.817460317460316,35.11904761904762,31.150793650793652,51.07142857142857,9.087301587301587,34.24603174603175,27.142857142857142,21.666666666666668,71.66666666666667,0.0
2016-12-29,27.103174603174605,37.182539682539684,27.738095238095237,45.595238095238095,9.563492063492063,31.38888888888889,28.77358490566038,10.43956043956044,53.2967032967033,0.0
2016-12-30,17.896825396825395,20.674603174603174,13.928571428571429,24.96031746031746,5.277777777777778,13.134920634920634,57.47663551401869,13.58695652173913,55.97826086956522,0.0
2017-01-03,27.42063492063492,37.182539682539684,28.214285714285715,37.1031746031746,6.468253968253968,15.992063492063492,54.166666666666664,17.741935483870968,62.903225806451616,100.0
2017-01-04,27.658730158730158,38.92857142857143,41.30952380952381,43.214285714285715,27.658730158730158,29.96031746031746,83.94495412844037,32.4468085106383,67.55319148936171,100.0
2017-01-05,57.34126984126984,41.15079365079365,56.62698412698413,51.54761904761905,64.32539682539682,41.70634920634921,84.0909090909091,6.842105263157895,36.31578947368421,100.0
2017-01-06,79.08730158730158,56.46825396825397,78.13492063492063,67.57936507936508,82.02380952380952,57.023809523809526,68.91891891891892,2.6041666666666665,39.0625,100.0
2017-01-09,94.24603174603175,66.86507936507937,82.34126984126983,71.38888888888889,90.67460317460318,49.56349206349206,37.94642857142857,1.0,24.22680412371134,100.0
2017-01-10,87.81746031746032,68.61111111111111,82.65873015873017,72.5,85.1984126984127,51.388888888888886,44.690265486725664,4.591836734693878,15.816326530612244,100.0
2017-01-11,85.35714285714286,65.03968253968254,85.35714285714286,74.16666666666667,74.8015873015873,55.992063492063494,11.842105263157896,23.737373737373737,17.67676767676768,100.0
2017-01-12,74.08730158730158,73.69047619047619,76.62698412698413,69.4047619047619,65.35714285714286,57.023809523809526,30.869565217391305,48.5,12.5,100.0
2017-01-13,63.29365079365079,80.35714285714286,77.97619047619048,73.45238095238095,59.404761904761905,66.30952380952381,39.224137931034484,61.881188118811885,17.326732673267326,100.0
2017-01-17,47.5,87.97619047619048,58.92857142857143,65.51587301587301,54.801587301587304,56.785714285714285,73.93162393162393,70.09803921568627,5.392156862745098,100.0
2017-01-18,47.817460317460316,80.9920634920635,56.07142857142857,67.18253968253968,61.785714285714285,64.32539682539682,71.61016949152543,56.79611650485437,16.019417475728154,100.0
2017-01-19,39.96031746031746,73.2936507936508,47.42063492063492,62.1031746031746,43.05555555555556,52.976190476190474,57.563025210084035,49.51923076923077,24.51923076923077,100.0
2017-01-20,48.611111111111114,69.48412698412699,48.76984126984127,65.43650793650794,67.81746031746032,70.35714285714286,50.416666666666664,57.61904761904762,18.571428571428573,100.0
2017-01-23,42.5,56.23015873015873,46.785714285714285,63.53174603174603,42.34126984126984,64.4047619047619,49.17355371900826,45.75471698113208,8.962264150943396,100.0
