strategy,period,start,end,return,max_drawdown,worst_day
QQQ_PS_Only,2018_Q4,2018-10-01,2018-12-31,-0.08321221403767154,-0.10804834055347134,-0.030667495601830817
QQQ_PS_Only,COVID_crash_recovery,2020-02-19,2020-04-30,0.03670896657151346,-0.10691644223656349,-0.04311995268959893
QQQ_PS_Only,2022_bear,2022-01-03,2022-12-30,-0.226352008126539,-0.24663850726002423,-0.040285270072430365
QQQ_PS_Insurance,2018_Q4,2018-10-01,2018-12-31,-0.08321221403767198,-0.10804834055347134,-0.030667495601830796
QQQ_PS_Insurance,COVID_crash_recovery,2020-02-19,2020-04-30,0.04130137736858264,-0.10247484655959793,-0.04257772855607933
QQQ_PS_Insurance,2022_bear,2022-01-03,2022-12-30,-0.22639261372191455,-0.2466780481006483,-0.040285270072430324
QQQ_PS_GreedCall,2018_Q4,2018-10-01,2018-12-31,-0.08305641561976274,-0.10790321467352593,-0.030667495601830685
QQQ_PS_GreedCall,COVID_crash_recovery,2020-02-19,2020-04-30,0.036708966571513235,-0.10691644223656382,-0.043119952689599006
QQQ_PS_GreedCall,2022_bear,2022-01-03,2022-12-30,-0.22635200812653877,-0.246638507260024,-0.040285270072430324
QQQ_PS_Premium,2018_Q4,2018-10-01,2018-12-31,-0.0846937626179104,-0.10957175023485521,-0.030667495601830796
QQQ_PS_Premium,COVID_crash_recovery,2020-02-19,2020-04-30,0.03670896657151346,-0.10691644223656294,-0.043119952689599006
QQQ_PS_Premium,2022_bear,2022-01-03,2022-12-30,-0.2255929852377596,-0.24589938737278727,-0.040285270072430324
QQQ_Full_35_20_45,2018_Q4,2018-10-01,2018-12-31,-0.08469592469164355,-0.10957397319289885,-0.030667495601830908
QQQ_Full_35_20_45,COVID_crash_recovery,2020-02-19,2020-04-30,0.04126618440471552,-0.10250888378385337,-0.042581865694419685
QQQ_Full_35_20_45,2022_bear,2022-01-03,2022-12-30,-0.2257955737646603,-0.2460966636491314,-0.040285270072430324
QQQ_BuyHold,2018_Q4,2018-10-01,2018-12-31,-0.16727408136982802,-0.22693983993124556,-0.045766722456282105
QQQ_BuyHold,COVID_crash_recovery,2020-02-19,2020-04-30,-0.06541227066504762,-0.28559372098911306,-0.11978787563689297
QQQ_BuyHold,2022_bear,2022-01-03,2022-12-30,-0.32578563775428293,-0.34831798096190203,-0.05483684108901343
TQQQ_PS_Only,2018_Q4,2018-10-01,2018-12-31,-0.2582939253694837,-0.31313279053820975,-0.08794230984407216
TQQQ_PS_Only,COVID_crash_recovery,2020-02-19,2020-04-30,0.04883744554515501,-0.30379626527627834,-0.12406837938853704
TQQQ_PS_Only,2022_bear,2022-01-03,2022-12-30,-0.6152736722931282,-0.6440676460767611,-0.11921565008173811
TQQQ_Full_35_20_45,2018_Q4,2018-10-01,2018-12-31,-0.26757489171295445,-0.3219762430927693,-0.08794230984407203
TQQQ_Full_35_20_45,COVID_crash_recovery,2020-02-19,2020-04-30,0.0689005570250365,-0.2891922415697802,-0.12225470500969404
TQQQ_Full_35_20_45,2022_bear,2022-01-03,2022-12-30,-0.6147522452396275,-0.6435852440543729,-0.11921565008173807
TQQQ_BuyHold,2018_Q4,2018-10-01,2018-12-31,-0.4793365195389374,-0.5752540894708007,-0.13599434828682433
TQQQ_BuyHold,COVID_crash_recovery,2020-02-19,2020-04-30,-0.39193306606240175,-0.6992241233271217,-0.3446446164672766
TQQQ_BuyHold,2022_bear,2022-01-03,2022-12-30,-0.7919797991943727,-0.8111377315491147,-0.16456514710636927
