date,strategy_name,state,event_id,event_active,P,S,G,E,R_proxy,R_put,R_call,I,I_need,I_affordability,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,base_portfolio_return,base_pnl,covered_call_pnl,cash_secured_put_pnl,insurance_pnl,assigned_inventory_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,assigned_shares,assigned_market_value,assigned_weight,covered_call_contracts,covered_call_coverage,cash_secured_put_collateral,cash_secured_put_collateral_weight,insurance_contracts,portfolio_return,equity,effective_asset_weight,gross_return,drawdown
2016-07-25,TQQQ_Full_35_20_45,DATA_GUARD,0,False,3.851095993953143,77.5586266854815,66.28618636582884,30.493579203693017,18.647355671803695,18.647355671803695,18.647355671803695,30.2486977367235,13.214048872899228,81.3526443281963,0.35,0.35,0.0,7.738095238095238e-06,0.0,0.0,5.029761904761905e-06,2.5148809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,5.02976190475124e-06,500002.51488095237,0.35,5.02976190475124e-06,0.0
2016-07-26,TQQQ_Full_35_20_45,DATA_GUARD,0,False,5.468631897203331,73.87405150669305,66.47797758799264,30.80174595488802,31.155264937760645,31.155264937760645,31.155264937760645,29.166107346306447,15.939898107662147,68.84473506223935,0.35,0.35,0.0033444816053511683,7.3412698412698415e-06,0.0,0.0,0.001175340387269734,587.6731494760195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.00117534038726963,500590.18803042837,0.35,0.00117534038726963,0.0
2016-07-27,TQQQ_Full_35_20_45,DATA_GUARD,0,False,6.50415721844294,70.31712228119206,67.52307640547485,36.07538034686679,44.47269529645439,44.47269529645439,44.47269529645439,28.202765581513887,19.09458587416998,55.52730470354561,0.35,0.35,0.019493670886075787,6.944444444444444e-06,0.0,0.0,0.006827298699015414,3417.678739480025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.006827298699015438,504007.8667699084,0.35,0.006827298699015438,0.0
2016-07-28,TQQQ_Full_35_20_45,DATA_GUARD,0,False,4.542705971277406,70.54101072924267,70.03188776730246,33.497054174958045,51.51156765453916,51.51156765453916,51.51156765453916,23.07071049169995,14.598136540446319,48.48843234546084,0.35,0.35,0.010884860524791096,6.944444444444444e-06,0.0,0.0,0.003814215072565772,1922.394402125506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.003814215072565741,505930.2611720339,0.35,0.003814215072565741,0.0
2016-07-29,TQQQ_Full_35_20_45,DATA_GUARD,0,False,1.9614512471655383,73.57160218537092,73.79587260298322,32.09428924790484,49.70358973453873,49.70358973453873,49.70358973453873,19.971123267780918,9.862694268554133,50.29641026546127,0.35,0.35,0.0065506653019447025,4.563492063492064e-06,0.0,0.0,0.0022956991255219153,1161.4636581477125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.002295699125521855,507091.7248301816,0.35,0.002295699125521855,0.0
2016-08-01,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.0,76.91407481483638,75.5279296412806,28.43815937102858,50.1186023012217,50.1186023012217,50.1186023012217,19.561459546563984,9.454813495825878,49.8813976987783,0.35,0.35,0.015700630465731225,5.7539682539682555e-06,0.0,0.0,0.005498960742371007,2788.47748762237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.005498960742370995,509880.202317804,0.35,0.005498960742370995,0.0
2016-08-02,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.0,74.06223865417668,74.35430512029757,34.766897135052275,52.32756544097243,52.32756544097243,52.32756544097243,19.508387689129453,10.12037206583008,47.67243455902757,0.35,0.35,-0.022546153538104297,6.15079365079365e-06,0.0,0.0,-0.007887155722463486,-4021.504555481708,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.007887155722463457,505858.69776232226,0.35,-0.007887155722463457,-0.007887155722463457
2016-08-03,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.4421768707483044,68.79934879934878,72.6965618433892,41.11396971785505,56.45309853709376,56.45309853709376,56.45309853709376,18.948776350936868,10.749401313613744,43.54690146290624,0.35,0.35,0.009505080301540625,6.15079365079365e-06,0.0,0.0,0.0033307761214122346,1684.9020713154316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0033307761214123044,507543.5998336377,0.35,0.0033307761214123044,-0.004582649950997442
2016-08-04,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.45918367346939265,62.8174603174603,72.15791105341405,49.30114638447969,55.91931216931216,55.91931216931216,55.91931216931216,19.786749795479977,11.688770450410688,44.08068783068784,0.35,0.35,0.008928571428571619,5.7539682539682555e-06,0.0,0.0,0.003128740079365146,1587.9720028247675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0031287400793651443,509131.5718364625,0.35,0.0031287400793651443,-0.0014682477922037807
2016-08-05,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.45918367346939265,64.512617012617,75.37828540269369,44.3959435626102,51.593915343915334,51.593915343915334,51.593915343915334,20.61985320881771,11.357776059728721,48.406084656084666,0.35,0.35,0.028921962992759287,4.9603174603174595e-06,0.0,0.0,0.010125911253814956,5155.4211129313335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.010125911253815012,514286.9929493938,0.35,0.010125911253815012,0.0
2016-08-08,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.01700680272109303,66.05311355311353,77.12260387764704,43.209876543209845,48.69708994708994,48.69708994708994,48.69708994708994,21.361105287836452,11.380503699478586,51.30291005291006,0.35,0.35,-0.003166660150905165,5.7539682539682555e-06,0.0,0.0,-0.0011045909734517284,-568.076770175533,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0011045909734517245,513718.9161792183,0.35,-0.0011045909734517245,-0.0011045909734517245
2016-08-09,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.0,69.35083435083435,77.46334953044892,36.69091710758375,48.73677248677247,48.73677248677247,48.73677248677247,20.765790389816356,10.599978015345965,51.26322751322753,0.35,0.35,0.006627970821240892,6.944444444444444e-06,0.0,0.0,0.002324303676323201,1194.0387654721274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0023243036763231917,514912.9549446904,0.35,0.0023243036763231917,0.0
2016-08-10,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.0,66.60256410256409,75.44046495364303,39.6869488536155,51.19708994708994,51.19708994708994,51.19708994708994,20.29898080727149,10.797671058725303,48.80291005291006,0.35,0.35,-0.007714185530058093,6.15079365079365e-06,0.0,0.0,-0.0026959669196473164,-1388.1882930287343,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0026959669196473524,513524.76665166166,0.35,-0.0026959669196473524,-0.0026959669196473524
2016-08-11,TQQQ_Full_35_20_45,DATA_GUARD,0,False,0.0,65.82214082214081,74.82889337363305,35.65476190476188,52.0701058201058,52.0701058201058,52.0701058201058,19.6811357188201,10.26488289846207,47.9298941798942,0.35,0.35,0.012917664611881152,5.7539682539682555e-06,0.0,0.0,0.004524922693523482,2323.6598703084546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.004524922693523559,515848.42652197013,0.35,0.004524922693523559,0.0
2016-08-12,TQQQ_Full_35_20_45,DATA_GUARD,0,False,1.007180650037798,61.730769230769205,75.08413867228691,39.77513227513225,51.68650793650793,51.68650793650793,51.68650793650793,20.77967983961159,11.60174243165143,48.31349206349207,0.35,0.35,0.0018606093495618925,5.7539682539682555e-06,0.0,0.0,0.0006549533517117418,337.8566559257925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.000654953351711729,516186.28317789594,0.35,0.000654953351711729,0.0
