strategy,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
QQQ_PS_Only,2016-07-25,2026-07-24,2514,1.6520101612824183,0.10249066476151936,0.11347958597972539,0.7144890447540068,1.0200733684605283,-0.2484773310744025,-0.010506801166214262,-0.017902451783233263,-0.043119952689599006,-0.08921738776367605,-0.12310721757954768,-0.20668789365284868,0.43478023070803495,0.565219769291965,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-05-13,597,True
QQQ_v0_3_Insurance,2016-07-25,2026-07-24,2514,1.6435178734033578,0.10213696933568484,0.10855568274447007,0.7388765750931918,1.0631856784347813,-0.24304500297615195,-0.009947557053709076,-0.01687766640785104,-0.040285270072430324,-0.08921738776367605,-0.12310721757954746,-0.20668789365284912,0.43478023070803495,0.565219769291965,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-04-11,575,True
QQQ_v0_3_Full,2016-07-25,2026-07-24,2514,1.6992739357984243,0.1044407284611435,0.10961812267682236,0.7518621910781993,1.0817611123086701,-0.2428607066203664,-0.010190309295940964,-0.01700926042983128,-0.040285270072430324,-0.08921738776367627,-0.12310721757954779,-0.20668789365284912,0.43574569368067934,0.5642543063193206,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-04-11,575,True
