candidate_id,structure,target_dte,long_put_delta,short_put_delta,annual_budget_cap,single_entry_cap,actual_annual_debit_rate,maximum_single_year_debit_rate,cagr,cagr_change,sharpe,sharpe_change,max_drawdown,max_drawdown_improvement,first_half_mdd_improvement,second_half_mdd_improvement,insurance_net_pnl,insurance_net_entry_debit,insurance_pnl_during_panic,insurance_entries,2018_Q4_mdd_improvement,COVID_crash_recovery_mdd_improvement,2022_bear_mdd_improvement,average_stress_mdd_improvement,worst_stress_mdd_improvement,mdd_improvement_per_1pct_annual_debit
I019,protective_put,180,0.2,,0.003,0.003,0.002483920919131061,0.00365802286390521,0.10172424384856682,-0.0007664209129525368,0.7185715246155658,0.004082479861559074,-0.2432441819249338,0.005233149149468708,3.3306690738754696e-16,0.005233149149468708,-5917.948571336038,19664.180144423248,-1005.9168383576225,11,5.551115123125783e-16,1.5186288679691629e-05,0.005284874989084698,0.001766687092588315,5.551115123125783e-16,0.021068098864030653
I020,protective_put,180,0.2,,0.004,0.004,0.003394995560159106,0.004315438730246046,0.10204843932446539,-0.0004422254370539669,0.7283829636509104,0.013893918896903612,-0.23887404338636342,0.009603287688039086,-4.440892098500626e-16,0.009603287688039086,-3834.732200743566,28033.388936818083,4441.332276195727,11,0.0,0.0023452748050053485,0.009685665063393745,0.004010313289466365,0.0,0.028286598665210123
I022,protective_put,180,0.2,,0.008,0.008,0.006886151302081766,0.009903629994808993,0.10109279558219697,-0.0013978691793223863,0.7320602517337141,0.017571206979707377,-0.22787989556997457,0.02059743550442794,0.0011471219014870249,0.02059743550442794,-14245.824193821349,56701.948539628596,9635.039068620343,14,0.013989385337165428,1.5223584578949456e-05,0.020788264644330923,0.0115976245220251,1.5223584578949456e-05,0.029911389687590932
I024,protective_put,180,0.2,,0.012,0.012,0.009679182313305595,0.014901771142049814,0.10153140818441275,-0.0009592565771066042,0.7519368346544877,0.03744778990048092,-0.2166383621025244,0.0318389689718781,0.001329576168373925,0.0318389689718781,-11099.428075929882,80003.51341981482,14976.232632901527,14,0.02119322186311401,0.0001976778514664046,0.032143056302508355,0.017844652005696255,0.0001976778514664046,0.032894275509316846
