strategy,period,start,end,return,max_drawdown,worst_day
QQQ_PS_Only,2018_Q4,2018-10-01,2018-12-31,-0.0832122140376711,-0.10804834055347101,-0.030667495601830908
QQQ_PS_Only,COVID_crash_recovery,2020-02-19,2020-04-30,0.0367089665715139,-0.10691644223656338,-0.043119952689599006
QQQ_PS_Only,2022_bear,2022-01-03,2022-12-30,-0.22635200812653777,-0.24663850726002323,-0.040285270072430435
QQQ_v0_3_Insurance,2018_Q4,2018-10-01,2018-12-31,-0.07593445484520367,-0.10087746337796588,-0.027550319213950014
QQQ_v0_3_Insurance,COVID_crash_recovery,2020-02-19,2020-04-30,0.05343536532910509,-0.0792735711720014,-0.03231387786754736
QQQ_v0_3_Insurance,2022_bear,2022-01-03,2022-12-30,-0.22074636279918058,-0.2410450021040479,-0.040285270072430435
QQQ_v0_3_Full,2018_Q4,2018-10-01,2018-12-31,-0.07760887192345023,-0.10258380000465528,-0.02755530200725853
QQQ_v0_3_Full,COVID_crash_recovery,2020-02-19,2020-04-30,0.05337270385041104,-0.07937713950064795,-0.03235359531388182
QQQ_v0_3_Full,2022_bear,2022-01-03,2022-12-30,-0.2205866712085145,-0.24089148232141533,-0.040285270072430324
