candidate_id,structure,target_dte,long_put_delta,short_put_delta,annual_budget_cap,single_entry_cap,actual_annual_debit_rate,maximum_single_year_debit_rate,cagr,cagr_change,sharpe,sharpe_change,max_drawdown,max_drawdown_improvement,first_half_mdd_improvement,second_half_mdd_improvement,insurance_net_pnl,insurance_net_entry_debit,insurance_pnl_during_panic,insurance_entries,2018_Q4_mdd_improvement,COVID_crash_recovery_mdd_improvement,2022_bear_mdd_improvement,average_stress_mdd_improvement,worst_stress_mdd_improvement,mdd_improvement_per_1pct_annual_debit
I019,protective_put,180,0.2,,0.003,0.003,0.0024839209191310605,0.003658022863905208,0.10172424384856682,-0.0007664209129525368,0.718571524615566,0.004082479861559185,-0.24324418192493402,0.005233149149468486,3.3306690738754696e-16,0.005233149149468486,-5917.948571336037,19664.180144423248,-1005.9168383576136,11,5.551115123125783e-16,1.5186288679691629e-05,0.005284874989084809,0.001766687092588352,5.551115123125783e-16,0.02106809886402976
I007,protective_put,90,0.3,,0.003,0.003,0.0027706920398444176,0.003245001149383628,0.10300625956153309,0.00051559480001373,0.7322798196691211,0.017790774915114382,-0.24731547733504589,0.001161853739356622,0.0,0.001161853739356622,659.1939326733627,23799.534176349905,7912.787087310117,13,0.0,0.018421445444706697,0.0012054790047550945,0.006542308149820597,0.0,0.004193370185673408
I001,protective_put,90,0.2,,0.003,0.003,0.002929190573557895,0.0035216397257799587,0.10300009085329154,0.0005094260917721805,0.7369263193473651,0.022437274593358314,-0.24651604969267604,0.001961281381726465,-1.1102230246251565e-16,0.001961281381726465,-241.12971156888943,25033.04994202115,6490.153400792258,14,4.440892098500626e-16,0.027603829207136554,0.002017805350964297,0.009873878186033766,4.440892098500626e-16,0.006695642814882562
I013,put_spread,90,0.25,0.1,0.003,0.003,0.002973621306695259,0.003303270723114861,0.10238178388142116,-0.00010888088009819441,0.7234227437637342,0.008933699009727403,-0.2464540751864669,0.0020232558879356155,0.0006877394586338736,0.0020232558879356155,-2397.6646607214925,25268.36814929328,1618.8274522457073,14,0.0006877394586330965,0.00940228566818846,0.002142367082167307,0.0040774640696629545,0.0006877394586330965,0.006804013286359472
I020,protective_put,180,0.2,,0.004,0.004,0.003394995560159104,0.004315438730246046,0.10204843932446517,-0.00044222543705418893,0.7283829636509096,0.013893918896902835,-0.23887404338636364,0.009603287688038864,-1.1102230246251565e-16,0.009603287688038864,-3834.7322007435523,28033.388936818068,4441.332276195753,11,1.1102230246251565e-16,0.0023452748050054595,0.009685665063393856,0.004010313289466476,1.1102230246251565e-16,0.028286598665209484
I008,protective_put,90,0.3,,0.004,0.004,0.0037074131784768675,0.00400484782012217,0.10289083951739508,0.00040017475587572626,0.7357681368696131,0.021279092115606302,-0.2471597643651794,0.001317566709223117,8.881784197001252e-16,0.001317566709223117,-1156.8891561500413,31414.25896443613,6293.754665852493,11,8.881784197001252e-16,0.026039936400893082,0.0013818963960050556,0.009140610932299675,8.881784197001252e-16,0.0035538707065944524
I002,protective_put,90,0.2,,0.004,0.004,0.00402399592336103,0.0043158049776115944,0.1027403796259383,0.0002497148644189373,0.7397407971192889,0.0252517523652821,-0.24875219638052892,-0.000274865306126415,-2.220446049250313e-16,-0.000274865306126415,-4967.175240029514,34420.204505860595,12984.759506170043,16,1.1102230246251565e-16,0.03709010116857192,-0.0002640097754093018,0.01227536379772091,-0.0002640097754093018,-0.0006830655680606024
I014,put_spread,90,0.25,0.1,0.004,0.004,0.004091995917106643,0.004623834630723343,0.10208544633022476,-0.0004052184312945961,0.7245232827587128,0.010034238004706042,-0.2435571180633075,0.00492021301109502,0.0009416534417121536,0.00492021301109502,-6294.926832114718,34547.395930838,9419.279186895943,20,0.0009416534417125977,0.01212170378549815,0.004961246481044124,0.0060082012360849575,0.0009416534417125977,0.012023992962764221
I021,protective_put,180,0.2,,0.006,0.006,0.005257263330666696,0.006260228094552101,0.09859410163933169,-0.0038965631221876684,0.6946455301249308,-0.019843514629075965,-0.24791860370621388,0.0005587273681886273,0.0011471234959040677,0.0005587273681886273,-31836.79804071707,42255.66568261212,-9589.482674105657,15,0.0068039994012039084,1.5225178996325361e-05,0.0006035911800982285,0.0024742719200994876,1.5225178996325361e-05,0.0010627722696130817
I015,put_spread,90,0.25,0.1,0.006,0.006,0.005896520632874981,0.006638352446779498,0.10075472947523689,-0.001735935286282464,0.7158693960496808,0.0013803512956740427,-0.24354135431866086,0.0049359767557416445,4.440892098500626e-16,0.0049359767557416445,-16691.300527853204,49928.20645095577,6969.98232525548,20,-2.220446049250313e-16,0.012181836674849955,0.0049772940802434995,0.0057197102516977445,-2.220446049250313e-16,0.008370998870455911
I003,protective_put,90,0.2,,0.006,0.006,0.005940677933629167,0.006305688028030153,0.1026341146878691,0.00014344992634973686,0.7464554988488833,0.03196645409487653,-0.24455652939155603,0.003920801682846475,0.0009643898804144735,0.003920801682846475,-6485.052123129537,51165.99643590966,13466.590374721247,20,0.0009643898804142514,0.04135155904966259,0.004034074874001203,0.015450007934692681,0.0009643898804142514,0.006599922982950286
I009,protective_put,90,0.3,,0.006,0.006,0.006020559609702493,0.007033491989021378,0.10312599873309658,0.0006353339715772233,0.7480228859435161,0.033533841189509306,-0.2445895866911133,0.0038877443832892045,4.440892098500626e-16,0.0038877443832892045,-2194.2713306675105,51910.527756778014,11108.261811754135,16,-1.1102230246251565e-16,0.04324706807106449,0.003999100510929776,0.015748722860664716,-1.1102230246251565e-16,0.006457446874247156
I022,protective_put,180,0.2,,0.008,0.008,0.00688615130208176,0.009903629994808982,0.10109279558219697,-0.0013978691793223863,0.7320602517337143,0.017571206979707488,-0.22787989556997457,0.02059743550442794,0.0011471219014869138,0.02059743550442794,-14245.824193821329,56701.94853962859,9635.039068620366,14,0.013989385337164983,1.5223584578838434e-05,0.02078826464433059,0.011597624522024804,1.5223584578838434e-05,0.02991138968759096
I016,put_spread,90,0.25,0.1,0.008,0.008,0.00749112330553808,0.008636994295940852,0.10066379977983742,-0.0018268649816819416,0.7203446211427367,0.005855576388729911,-0.24257864807426388,0.005898683000138627,0.003549055124077327,0.005898683000138627,-17609.581043950013,65053.98844018452,-101.68557202148077,21,0.003549055124076883,0.012160096420855582,0.006215047013498287,0.007308066186143584,0.003549055124076883,0.007874230285033241
