date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,candidate_id
2020-12-08,I001,QQQ,7,insurance,CLOSE,put,1,234.0,2020-12-18,1,308.29,4.265191369572465e-06,0.0,0.010004265191369573,0.0,0.35506918810211163,-1.186739592276715e-06,0.0,-0.6504265191369573,0.6504265191369573,INSURANCE_DTE_ROLL,I001
2021-02-03,I001,QQQ,8,insurance,OPEN,put,1,280.0,2021-05-21,3,326.38,8.240851337075796,8.034830053648902,8.44687262050269,8.44687262050269,0.37899163532846175,-0.19931831687174623,-2534.061786150807,-63.75638502806826,63.75638502806826,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2021-05-11,I001,QQQ,8,insurance,CLOSE,put,1,280.0,2021-05-21,3,325.31,0.01854892261865615,0.00854892261865615,0.02854892261865615,0.00854892261865615,0.3368061694998617,-0.003305741138809956,2.564676785596845,-4.95,4.95,INSURANCE_DTE_ROLL,I001
2022-01-03,I001,QQQ,9,insurance,OPEN,put,1,361.0,2022-04-14,4,401.68,6.7191174014988775,6.5511394664614055,6.887095336536349,6.887095336536349,0.2629158579288747,-0.20191613794828664,-2754.8381346145397,-69.79117401498877,69.79117401498877,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2022-01-18,I001,QQQ,9,insurance,CLOSE,put,1,361.0,2022-04-14,1,370.55,14.474875236696647,14.113003355779231,14.836747117614063,14.113003355779231,0.2649864199627623,-0.39650178189261515,1411.300335577923,-36.837188091741616,36.837188091741616,INSURANCE_PARTIAL_MONETIZATION,I001
2022-01-27,I001,QQQ,9,insurance,CLOSE,put,1,361.0,2022-04-14,1,341.1,30.484472854040376,29.722361032689367,31.246584675391386,29.722361032689367,0.291770601716441,-0.6402596429755034,2972.236103268937,-76.86118213510095,76.86118213510095,INSURANCE_PARTIAL_MONETIZATION,I001
2022-04-04,I001,QQQ,9,insurance,CLOSE,put,1,361.0,2022-04-14,2,369.3,3.6380888909012725,3.547136668628741,3.729041113173804,3.547136668628741,0.2913541774290496,-0.3099739129904318,709.4273337257482,-19.490444454506328,19.490444454506328,INSURANCE_DTE_ROLL,I001
2023-03-14,I001,QQQ,10,insurance,OPEN,put,1,262.0,2023-06-16,3,297.37,6.602402480620505,6.437342418604993,6.767462542636017,6.767462542636017,0.35992404098036196,-0.1992001237937326,-2030.2387627908051,-51.46801860465368,51.46801860465368,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2023-06-06,I001,QQQ,10,insurance,CLOSE,put,1,262.0,2023-06-16,3,354.84,8.815932491506616e-13,0.0,0.010000000000881594,0.0,0.25816181941156574,-4.312492649964533e-13,0.0,-1.9500000002644782,1.9500000002644782,INSURANCE_DTE_ROLL,I001
2023-09-27,I001,QQQ,11,insurance,OPEN,put,1,326.0,2023-12-15,1,355.04,5.178343700673253,5.048885108156421,5.307802293190084,5.307802293190084,0.26481665662791354,-0.1997580771964997,-530.7802293190084,-13.595859251683168,13.595859251683168,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2023-12-05,I001,QQQ,11,insurance,CLOSE,put,1,326.0,2023-12-15,1,387.29,6.99027427592398e-07,0.0,0.010000699027427593,0.0,0.21023090578119757,-2.766922209465938e-07,0.0,-0.6500699027427592,0.6500699027427592,INSURANCE_DTE_ROLL,I001
2024-08-06,I001,QQQ,12,insurance,OPEN,put,1,402.0,2024-11-15,4,439.53,6.856448347321731,6.6850371386386875,7.027859556004774,7.027859556004774,0.25013443865099366,-0.1993126797144773,-2811.14382240191,-71.1644834732173,71.1644834732173,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2024-08-09,I001,QQQ,12,insurance,CLOSE,put,1,402.0,2024-11-15,2,450.41,4.961955456274779,4.83790656986791,5.086004342681649,4.83790656986791,0.2535338699481729,-0.15189675465972385,967.5813139735819,-26.10977728137397,26.10977728137397,INSURANCE_PARTIAL_MONETIZATION,I001
2024-11-05,I001,QQQ,12,insurance,CLOSE,put,1,402.0,2024-11-15,2,492.21,4.06438434130919e-05,0.0,0.010040643843413091,0.0,0.28685545803620405,-8.127258723234245e-06,0.0,-1.3081287686826184,1.3081287686826184,INSURANCE_DTE_ROLL,I001
2025-01-02,I001,QQQ,13,insurance,OPEN,put,1,476.0,2025-03-21,5,510.23,5.926495984605353,5.778333584990219,6.074658384220487,6.074658384220487,0.21306866520388876,-0.20105796636073112,-3037.3291921102436,-77.331199807567,77.331199807567,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2025-03-11,I001,QQQ,13,insurance,CLOSE,put,1,476.0,2025-03-21,5,471.6,11.064601285610422,10.787986253470162,11.341216317750682,10.787986253470162,0.287,-0.5596224536691148,5393.993126735081,-141.5575160701299,141.5575160701299,INSURANCE_DTE_ROLL,I001
2026-04-01,I001,QQQ,14,insurance,OPEN,put,1,534.0,2026-06-18,4,584.31,8.656269987129775,8.439863237451531,8.87267673680802,8.87267673680802,0.2696172246606783,-0.2002794716069177,-3549.070694723208,-89.1626998712976,89.1626998712976,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2026-06-08,I001,QQQ,14,insurance,CLOSE,put,1,534.0,2026-06-18,4,716.07,7.748656334598996e-06,0.0,0.0100077486563346,0.0,0.37463412794838497,-8.887317372580295e-07,0.0,-2.6030994625338395,2.6030994625338395,INSURANCE_DTE_ROLL,I001
2017-05-19,I002,QQQ,1,insurance,OPEN,put,1,130.0,2017-08-18,13,137.84,1.3502835695062814,1.3165264802686243,1.3840406587439384,1.3840406587439384,0.1564834979868187,-0.21241634784097074,-1799.2528563671199,-52.33421600895421,52.33421600895421,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I002
